Armagh
Location: 2878E 3458N (Irish Grid), 62 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1853   1    ---     ---     ---    57.3     ---
   1853   2    ---     ---     ---    32.3     ---
   1853   3    ---     ---     ---    65.5     ---
   1853   4    ---     ---     ---    46.2     ---
   1853   5    ---     ---     ---    13.2     ---
   1853   6    ---     ---     ---    53.3     ---
   1853   7    ---     ---     ---    78.0     ---
   1853   8    ---     ---     ---    56.6     ---
   1853   9    ---     ---     ---    24.5     ---
   1853  10    ---     ---     ---    94.8     ---
   1853  11    ---     ---     ---    75.5     ---
   1853  12    ---     ---     ---    39.1     ---
   1854   1    ---     ---     ---    78.9     ---
   1854   2    ---     ---     ---    38.8     ---
   1854   3    ---     ---     ---    41.2     ---
   1854   4    ---     ---     ---     4.5     ---
   1854   5    ---     ---     ---    73.5     ---
   1854   6    ---     ---     ---   115.4     ---
   1854   7    ---     ---     ---   133.1     ---
   1854   8    ---     ---     ---    65.6     ---
   1854   9    ---     ---     ---    42.4     ---
   1854  10    ---     ---     ---    73.6     ---
   1854  11    ---     ---     ---    63.0     ---
   1854  12    ---     ---     ---   107.2     ---
   1855   1    ---     ---     ---     7.3     ---
   1855   2    ---     ---     ---    38.7     ---
   1855   3    ---     ---     ---    54.2     ---
   1855   4    ---     ---     ---    34.2     ---
   1855   5    ---     ---     ---    62.2     ---
   1855   6    ---     ---     ---    60.2     ---
   1855   7    ---     ---     ---    71.5     ---
   1855   8    ---     ---     ---    83.3     ---
   1855   9    ---     ---     ---    37.4     ---
   1855  10    ---     ---     ---    81.9     ---
   1855  11    ---     ---     ---    17.4     ---
   1855  12    ---     ---     ---    54.3     ---
   1856   1    ---     ---     ---    58.7     ---
   1856   2    ---     ---     ---    38.8     ---
   1856   3    ---     ---     ---    21.1     ---
   1856   4    ---     ---     ---    26.3     ---
   1856   5    ---     ---     ---   107.4     ---
   1856   6    ---     ---     ---    58.1     ---
   1856   7    ---     ---     ---    39.4     ---
   1856   8    ---     ---     ---    66.9     ---
   1856   9    ---     ---     ---    80.1     ---
   1856  10    ---     ---     ---    36.5     ---
   1856  11    ---     ---     ---    36.1     ---
   1856  12    ---     ---     ---    90.5     ---
   1857   1    ---     ---     ---    82.7     ---
   1857   2    ---     ---     ---    41.6     ---
   1857   3    ---     ---     ---    99.3     ---
   1857   4    ---     ---     ---   112.2     ---
   1857   5    ---     ---     ---    31.6     ---
   1857   6    ---     ---     ---    47.5     ---
   1857   7    ---     ---     ---    70.5     ---
   1857   8    ---     ---     ---    76.0     ---
   1857   9    ---     ---     ---    45.7     ---
   1857  10    ---     ---     ---    40.2     ---
   1857  11    ---     ---     ---    84.6     ---
   1857  12    ---     ---     ---    42.7     ---
   1858   1    ---     ---     ---    37.0     ---
   1858   2    ---     ---     ---    32.8     ---
   1858   3    ---     ---     ---    27.4     ---
   1858   4    ---     ---     ---   133.8     ---
   1858   5    ---     ---     ---    83.9     ---
   1858   6    ---     ---     ---    26.3     ---
   1858   7    ---     ---     ---    78.5     ---
   1858   8    ---     ---     ---    84.6     ---
   1858   9    ---     ---     ---    47.1     ---
   1858  10    ---     ---     ---    61.8     ---
   1858  11    ---     ---     ---    30.1     ---
   1858  12    ---     ---     ---    93.2     ---
   1859   1    ---     ---     ---    72.1     ---
   1859   2    ---     ---     ---    36.4     ---
   1859   3    ---     ---     ---    64.9     ---
