Cambridge NIAB
Location: 5435E 2606N, 26 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    4.4    -1.4      20     ---    78.1
   1959   2    7.5     1.2       9     ---    66.0
   1959   3   11.5     3.8       0     ---    98.0
   1959   4   14.3     5.4       0     ---   146.1
   1959   5   18.1     6.5       0     ---   224.8
   1959   6   21.6    10.1       0     ---   252.4
   1959   7   23.9    12.2       0     ---   270.7
   1959   8   23.5    13.0       0     ---   213.4
   1959   9   21.7     9.0       0     ---   171.3
   1959  10   18.0     7.5       0     ---   167.6
   1959  11   10.2     3.2       6     ---    59.9
   1959  12    8.7     3.2       2     ---    36.7
   1960   1    6.7     1.6      12     ---    36.3
   1960   2    7.5     1.4       9     ---    72.7
   1960   3    9.7     2.9       5     ---    61.6
   1960   4   14.0     4.5       2     ---   162.7
   1960   5   18.5     8.2       0     ---   202.6
   1960   6   21.7    10.4       0     ---   260.2
   1960   7   20.1    11.4       0     ---   154.7
   1960   8   20.6    10.9       0     ---   159.8
   1960   9   17.7     9.5       0     ---   125.0
   1960  10   14.0     7.6       0     ---    71.8
   1960  11   10.6     4.6       0     ---    65.4
   1960  12    6.5     2.1       5     ---    48.6
   1961   1    6.2     1.0       5    55.9    50.5
   1961   2   10.3     4.3       0    50.4    65.9
   1961   3   13.7     3.3       1     5.2   170.4
   1961   4   14.9     6.2       0    44.5   101.0
   1961   5   16.4     6.4       0    23.6   218.4
   1961   6   21.4     9.8       0    32.7   243.2
   1961   7   20.9    11.3       0    32.8   185.6
   1961   8   21.3    11.6       0    50.3   182.6
   1961   9   20.4    11.5       0    63.8   131.1
   1961  10   15.3     7.3       0    57.8   141.4
   1961  11    9.4     2.9       6    41.5    72.7
   1961  12    5.5    -0.6      18    79.7    58.3
   1962   1    7.3     0.7       9    62.3    73.5
   1962   2    7.6     1.2       9    11.4    79.3
   1962   3    6.8    -1.4      17    26.5   102.4
   1962   4   12.3     4.1       1    38.8   139.5
   1962   5   14.5     6.6       1    45.9   160.1
   1962   6   19.6     8.0       0     0.5   289.6
   1962   7   19.4    11.0       0    56.0   126.4
   1962   8   19.9    11.0       0    55.1   182.1
   1962   9   17.5     8.9       0    73.6   129.6
   1962  10   14.9     6.5       1    32.5   104.4
   1962  11    8.2     2.6       8    35.5    34.2
   1962  12    4.6    -2.5      18    33.7    68.6
   1963   1   -0.1    -5.7      29    24.7    58.0
   1963   2    1.2    -3.5      27    13.2    59.0
   1963   3    9.9     2.8       7    50.3   102.6
   1963   4   13.4     4.7       3    41.0   124.9
   1963   5   15.8     6.3       0    43.5   189.5
   1963   6   20.6    10.0       0    43.0   201.8
   1963   7   20.6    10.6       0    52.4   170.1
   1963   8   19.0    10.6       0   100.4   119.6
   1963   9   17.9     9.3       0    44.1   134.0
   1963  10   14.3     8.0       0    48.6    78.4
   1963  11   11.4     5.2       1    78.6    52.8
   1963  12    5.0    -0.7      20    11.1    48.7
   1964   1    5.0    -0.3      15    18.7    45.8
   1964   2    7.4     1.8       8    16.6    70.8
   1964   3    6.7     1.5      10    76.2    52.4
   1964   4   12.9     5.1       2    59.1   113.9
   1964   5   19.6     8.7       0    21.5   208.5
   1964   6   18.7    10.4       0    94.7   150.7
   1964   7   22.2    12.2       0    40.2   198.0
   1964   8   21.6    11.5       0    21.8   200.2
   1964   9   20.5     8.9       0    12.1   196.1
   1964  10   13.3     4.6       0    27.1   114.2
   1964  11   10.5     4.0       6    34.8    63.0
   1964  12    6.5     0.1      17    37.3    48.7
   1965   1    6.1     0.9      16    47.4    78.3
   1965   2    5.6     0.6      10    15.1    29.1
   1965   3   10.0     1.1      11    51.8   125.0
   1965   4   12.9     4.2       2    42.4   122.2
   1965   5   16.5     7.8       0    47.8   166.2
   1965   6   19.2     9.7       0    43.2   174.8
   1965   7   18.3    10.4       0    63.6   103.4
   1965   8   20.3    10.2       0    65.4   174.0
   1965   9   17.5     8.8       0    85.6   127.0
   1965  10   15.4     6.1       2    14.8   115.1
   1965  11    8.0     1.6      14    36.9    86.5
   1965  12    7.3     1.4       8    81.7    52.0
   1966   1    4.6     0.4      16    29.6    34.0
   1966   2    8.8     3.3       8    56.7    43.6
   1966   3   10.8     2.6       7     8.5   115.9
   1966   4   11.6     4.5       2    65.4    82.2
   1966   5   16.7     6.5       0    35.8   196.7
   1966   6   21.5    10.8       0    56.9   181.6
   1966   7   19.5    11.1       0    70.4   145.5
   1966   8   20.4    10.6       0    75.0   186.6
   1966   9   19.0    10.1       0    35.0   148.3
   1966  10   14.4     7.6       0    64.7    74.9
   1966  11    8.3     2.7       5    39.9    52.2
   1966  12    8.4     2.0       7    69.6    39.9
   1967   1    7.1     2.0       8    21.8    71.9
   1967   2    8.9     2.0       7    34.7    88.3
   1967   3   11.7     4.0       0    18.9   188.3
   1967   4   12.0     4.0       3    53.1   134.7*
   1967   5   15.5     6.9       1   118.0   178.6
   1967   6   19.5     9.2       0    29.7   213.6
   1967   7   23.3    12.9       0    61.4   211.0
   1967   8   21.4    11.6       0    22.1   152.8
   1967   9   18.1    10.0       0    39.1   110.3
   1967  10   14.6     8.2       0   107.1    94.9
   1967  11    8.6     2.2       8    44.9    59.4
   1967  12    6.4     1.0      13    40.8    65.4
   1968   1    6.8     0.9      13    37.2    38.2
   1968   2    4.8    -0.5      19    17.2    40.5
   1968   3   11.1     2.9       5    10.1   130.8
   1968   4   13.6     3.7       8    36.8   172.0
   1968   5   15.0     6.0       0    32.7   149.4
   1968   6   20.1    10.3       0    75.9   172.4
   1968   7   19.5    11.3       0    83.5   127.6
   1968   8   19.6    11.7       0    93.8   120.8
   1968   9   18.4    10.7       0    85.7   118.8
   1968  10   16.1    10.1       0    42.1    64.0
   1968  11    9.0     4.3       5    30.9    28.7
   1968  12    4.8     0.8      10    39.8    18.8
   1969   1    8.4     3.4       6    58.9    36.1
   1969   2    3.5    -1.6      16    41.9    76.3
   1969   3    6.6     0.8       6    53.9    66.4
   1969   4   13.1     2.8       6    32.0   190.0
   1969   5   16.4     8.0       0    90.7   166.0
   1969   6   19.4     8.6       0    30.3   268.7
   1969   7   22.9    12.5       0    44.1   213.9
   1969   8   21.0    12.0       0    59.6   119.8
   1969   9   18.8    10.6       1     2.4   123.4
   1969  10   17.8     9.1       0     4.6   100.0
   1969  11    8.9     2.7       5    64.3    64.0
   1969  12    5.3     0.7      12    49.8    19.2
   1970   1    6.3     1.4      10    52.4    30.3
   1970   2    6.3     0.1      11    55.9   112.9
   1970   3    7.1    -0.5      16    32.3   109.0
   1970   4   10.8     3.2       5    66.4   125.4
   1970   5   18.6     8.4       0    19.6   213.3
   1970   6   22.5    10.7       0    96.5   264.8
   1970   7   20.4    11.5       0    33.1   184.3
   1970   8   21.5    11.1       0    33.2   181.0
   1970   9   19.9    10.6       0    44.2   161.3
   1970  10   15.5     7.3       0    20.3   105.8
   1970  11   11.0*    4.9       2   117.8    60.0
   1970  12    6.6     1.5      12    34.6    37.8
   1971   1    7.1     2.0       9    71.6    39.6
   1971   2    7.9     1.5       7    11.8    76.6
   1971   3    8.4     1.6       9    41.2   101.8
   1971   4   11.5     4.0       2    30.3   119.6
   1971   5   17.2     6.3       2    51.9   239.8
   1971   6   16.9     9.1       0    96.4   131.0
   1971   7   22.5    12.2       0    16.3   238.3
   1971   8   20.8    12.2       0    57.4   147.2
   1971   9   20.1     8.5       0    21.4   173.1
   1971  10   16.5     5.7       1    65.0   150.4
   1971  11    9.5     1.7      11    61.9    96.4
   1971  12    8.9     3.7       2    17.0    39.5
   1972   1    6.0     1.6       8    46.0    48.6
   1972   2    7.5     1.6       5    32.7    46.1
   1972   3   11.8     2.0       5    42.1   150.0
   1972   4   12.1     5.1       0    43.9   136.1
   1972   5   15.7     6.8       0    26.0   205.2
   1972   6   17.4     8.1       0    22.7   190.0
   1972   7   20.9    11.4       0    26.8   167.0
   1972   8   20.8    10.9       0    37.6   189.1
   1972   9   16.4     8.1       0    29.9   121.4
   1972  10   15.3     6.5       1     7.8   108.1
   1972  11    9.6     3.2       7    48.9    83.3
   1972  12    8.6     2.6       2    39.0    49.8
   1973   1    6.9     1.8       8    14.8    39.7
   1973   2    7.8     0.9      11    19.8    88.5
   1973   3   11.1     2.0       4    10.4   134.4
   1973   4   12.0     3.2       3    42.5   166.0
   1973   5   16.7     7.2       0    66.5   200.8
   1973   6   21.2     9.7       0    60.6*  273.1
   1973   7   20.9    11.5       0    36.4   165.5
   1973   8   23.1    11.9       0    18.4   198.1
   1973   9   20.1    10.2       0    57.5   170.5
   1973  10   13.3     5.2       2    25.9   110.4
   1973  11    9.5     1.7      10    30.1   104.9
   1973  12    8.0     1.8       8    29.5    57.3
   1974   1    9.2*    2.7       3    46.2    66.4
   1974   2    8.6     2.7       5    47.7    73.7
   1974   3    9.6     2.6       3    16.2   100.8
   1974   4   13.4     2.9       3    10.3   152.8
   1974   5   16.2     6.1       0    22.3   226.0
   1974   6   19.3     9.5       0    52.8   209.3
   1974   7   20.1    11.1       0    29.1   215.3
   1974   8   20.8    11.0       0    89.9   206.4
   1974   9   16.9     8.7       0    71.2   171.4
   1974  10   10.7     4.7       1    88.2    96.8
   1974  11    9.8*    4.1       1   126.1    58.3
   1974  12   10.6     5.7       0    28.3    52.0
   1975   1   10.1     3.9       3    51.9    38.0
   1975   2    8.3     1.2      10    25.2    53.7
   1975   3    7.8     2.3       7    92.4    70.8
   1975   4   12.6     4.6       5    79.7   128.6
   1975   5   14.4     5.9       0    48.5   180.6
   1975   6   20.8     8.8       0    18.0   282.3
   1975   7   23.4    12.6       0    27.4   222.0
   1975   8   25.3    13.5       0    26.2   234.3
   1975   9   19.4     9.4       0    69.8   162.5
   1975  10   14.2     6.3       0     6.4   126.6
   1975  11    9.1     2.4       9    37.6    70.6
   1975  12    7.4     1.7      10    28.1    30.5
   1976   1    8.3     3.1       9    29.2    52.9
   1976   2    7.2     1.5       9    14.4    53.5
   1976   3    9.0     0.9      12    15.7   116.0
   1976   4   12.9     3.9       4    21.4   175.0
   1976   5   17.9     7.6       0    31.1   197.8
   1976   6   24.5    11.4       0     8.3   277.8
   1976   7   25.7    12.4       0    36.2   282.2
   1976   8   24.2    10.7       0    33.2   238.2
   1976   9   18.1     9.7       0    72.7   117.1
   1976  10   14.4     8.2       0    85.2    57.3
   1976  11    9.3     3.4       2    76.3    71.9
   1976  12    4.5    -0.4      13    74.6    61.2
   1977   1    5.3     0.6      12    45.7    43.5
   1977   2    9.0     2.6       3    64.7    65.1
