Cardiff Bute Park
Location 3176E 1773N, 9 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1977   9   18.3     8.1       0    48.6   117.9
   1977  10   15.4     9.0       0    76.0    80.4
   1977  11   10.3     4.7       4   147.9    76.4
   1977  12    9.6     4.6       2    88.0    25.6
   1978   1    7.5     2.0       6   134.1    64.7
   1978   2    6.2     0.9      13   134.1    56.9
   1978   3   10.6     3.9       3   121.3   122.4
   1978   4   10.9     3.7       4    63.6   118.6
   1978   5   17.3     7.5       0    30.6   188.1
   1978   6   18.5     9.5       0    29.6   177.3
   1978   7   18.7    11.8       0   110.1   115.8
   1978   8   19.6    11.4       0    40.5   164.9
   1978   9   18.4    10.2       0    34.1   182.2
   1978  10   16.6     9.0       0    12.0    81.1
   1978  11   12.5     5.7       4    82.8    49.5
   1978  12    8.2     3.4       6   219.5    36.4
   1979   1    4.6    -2.9      27   117.8    63.1
   1979   2    4.4    -0.4      13    81.9    58.1
   1979   3    8.4     2.6       2   112.9    83.2
   1979   4   12.3     4.7       3    60.2   152.6
   1979   5   13.9     5.9       5   109.8   184.6
   1979   6   18.2     9.8       0    25.9   168.9
   1979   7   21.1    12.4       0    37.3   224.8
   1979   8   18.9    11.2       0   135.4   189.1
   1979   9   17.7     9.0       0    59.1   167.2
   1979  10   15.5     8.7       0    88.8   105.7
   1979  11   11.2     3.5       5    90.9    59.2
   1979  12   10.1     4.0       8   180.9    46.6
   1980   1    6.0    -0.8      19    96.6    60.8
   1980   2    9.9     4.4       1   122.4    44.1
   1980   3    8.8     2.8       3   152.6    82.7
   1980   4   14.4     4.5       3    15.0   189.1
   1980   5   17.7     7.4       0    43.6   208.2
   1980   6   18.3    10.3       0   125.8   175.6
   1980   7   19.0    11.2       0    67.2   167.4
   1980   8   20.0    12.6       0    85.8   158.2
   1980   9   18.5    11.8       0    99.2   147.9
   1980  10   13.3     5.8       0   147.5   108.1
   1980  11    9.8     5.1       4   131.8    82.7
   1980  12    9.5     3.3       8   108.2    59.4
   1981   1    8.8     2.6       7    58.2    50.9
   1981   2    6.8     0.7      13    62.9    69.0
   1981   3   11.6     6.7       1   204.1    82.4
   1981   4   13.2     5.3       0    37.1   157.5
   1981   5   15.4     7.9       0   125.0   111.9
   1981   6   17.8    10.6       0    49.5   135.3
   1981   7   20.0    12.7       0    30.1   154.4
   1981   8   22.1    12.1       0    27.8   192.9
   1981   9   19.3    10.9       0   218.8   144.6
   1981  10   12.6     5.5       2   148.4    98.4
   1981  11   11.4     5.2       2    72.5    47.0
   1981  12    5.7    -0.3*     16*  118.7    51.2
   1982   1    6.5     0.9      11    85.3    40.2
   1982   2    8.8     3.3       4    69.5    52.1
   1982   3   10.5     3.2       3   152.4   157.5
   1982   4   14.2     4.7       1    31.5   198.1
   1982   5   17.3     6.8       1    34.3   211.8
   1982   6   20.9    12.2       0    77.7   178.4
   1982   7   21.6    13.2       0    29.7   148.2
   1982   8   20.1    12.4       0    95.4   157.5
   1982   9   19.1    11.0       0   101.1   126.2
   1982  10   13.9     7.9       0   128.9    64.4
   1982  11   11.3     6.2       4   193.9    59.0
   1982  12    8.4     2.3       8   166.9    39.6
   1983   1   10.2     4.4       2   190.3    33.0
   1983   2    5.5     0.3      15    30.4    86.6
   1983   3   10.3     4.1       3    57.2   104.6
   1983   4   11.8     3.5       1    97.7   153.4
   1983   5   14.2     7.8       0   137.9    96.3
   1983   6   19.2    11.2       0    32.2   123.0
   1983   7   25.9    15.1       0    18.0   248.8
   1983   8   23.5    13.2       0    34.2   231.2
   1983   9   17.1    11.0       0   185.7    92.7
   1983  10   14.5     7.8       1    93.2   113.4
   1983  11   10.9     5.9       5    64.3    36.1
   1983  12    9.9     3.5       8   122.3    58.1
   1984   1    8.3     1.6       8   205.7    70.6
   1984   2    7.9     1.8       7    67.3    60.2
   1984   3    9.2     2.6       3    31.1    74.0
   1984   4   14.8     3.7       6     9.5   230.1
   1984   5   16.1     6.8       0    60.0   168.8
   1984   6   20.9    10.6       0    35.9   246.2
   1984   7   23.1    12.5       0    14.7   263.3
   1984   8   23.3    13.8       0    47.5   197.0
   1984   9   18.3    11.0       0   149.1   139.8
   1984  10   15.3     8.9       1   147.7    83.8
   1984  11   11.6     5.8       2   218.2    42.1
   1984  12    9.6     2.6       7   115.0    48.9
   1985   1    5.4    -1.5      23    88.0    72.4
   1985   2    6.6     0.2      14    69.4    74.5
   1985   3    9.6     1.9       8    79.2   120.1
   1985   4   13.3     5.6       0    71.6   140.6
   1985   5   16.6     7.5       0    44.2   179.1
   1985   6   17.4     9.7       0   157.4   154.0
   1985   7   21.2    12.5       0    95.9   196.8
   1985   8   18.4    12.3       0   186.6   160.6
   1985   9   18.9    11.0       0    64.0   129.5
   1985  10   14.7*    8.1*      0*   69.7    84.4
   1985  11    8.6*    1.1*      6*   59.5*   64.9
   1985  12   10.2*    4.9*      5*  175.5*   36.0*
