Durham
Location: 4267E 5415N, 102 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1880   1    4.2    -1.4      22    13.5     ---
   1880   2    8.7     0.6      12    44.3     ---
   1880   3    9.2     1.0      12    32.5     ---
   1880   4   11.6     2.7       2    51.5     ---
   1880   5   14.1     3.7       4    38.1     ---
   1880   6   17.7     7.7       0    66.5     ---
   1880   7   19.2    10.1       0   106.0     ---
   1880   8   19.8    10.9       0    49.1     ---
   1880   9   18.9     8.9       0   128.6     ---
   1880  10   10.1     2.9       7   150.0     ---
   1880  11    8.2     0.1      15    56.7     ---
   1880  12    6.3     0.4      15    70.2     ---
   1881   1    1.5    -5.7      24    22.3     ---
   1881   2    4.1    -1.2      18    70.4     ---
   1881   3    7.8    -0.6      18    56.2     ---
   1881   4    9.7     1.1      13    24.9     ---
   1881   5   15.9     4.6       1    31.7     ---
   1881   6   18.4     7.3       0    54.8     ---
   1881   7   20.9    10.6       0    78.5     ---
   1881   8   17.7     9.1       0    97.9     ---
   1881   9   15.3     8.4       0    81.5     ---
   1881  10   10.3     3.6       6    90.9     ---
   1881  11   10.5     4.5       2    44.4     ---
   1881  12    5.9     0.7      10    57.9     ---
   1882   1    7.3     2.0       3    18.4     ---
   1882   2    8.9     2.2       4    23.3     ---
   1882   3   11.1     2.2       7    37.6     ---
   1882   4   10.2     2.9       4    91.4     ---
   1882   5   15.6     4.4       2    57.7     ---
   1882   6   17.6     7.8       0    84.5     ---
   1882   7   20.2    10.2       0    90.6     ---
   1882   8   19.9     9.8       0    73.3     ---
   1882   9   15.8     6.8       0    53.4     ---
   1882  10   12.3     6.3       1   121.8     ---
   1882  11    7.3     1.8       5    84.0     ---
   1882  12    3.8    -0.4      16   114.2     ---
   1883   1    5.5     0.7      10    47.9     ---
   1883   2    8.1     1.5       4    42.4     ---
   1883   3    5.5    -2.3      25    47.7     ---
   1883   4   12.2     1.8       8    40.5     ---
   1883   5   14.3     4.1       0    46.1     ---
   1883   6   17.5     7.9       0    62.3     ---
   1883   7   19.2     9.2       0    94.7     ---
   1883   8   20.3     9.4       0    30.4     ---
   1883   9   16.0     8.9       0   104.5     ---
   1883  10   12.5     4.7       1    60.0     ---
   1883  11    8.3     2.4       5    23.7     ---
   1883  12   ---      ---     ---    37.1     ---
   1884   1    8.2     2.6       6    80.6     ---
   1884   2    7.2     1.1       8    32.4     ---
   1884   3    9.4     1.7       4    64.4     ---
   1884   4   10.5     2.0       5    51.9     ---
   1884   5   15.6     4.4       0    17.0     ---
   1884   6   18.6     7.3       0    25.8     ---
   1884   7   20.9     9.8       0    98.8     ---
   1884   8   22.0     9.6       0    18.6     ---
   1884   9   17.7     8.5       0    35.4     ---
   1884  10   12.8     4.4       2    38.2     ---
   1884  11    8.4     1.9       6    46.8     ---
   1884  12    5.9     0.8      13    32.3     ---
   1885   1    4.2     0.1      17    50.1     ---
   1885   2    7.6     1.1      11    22.7     ---
   1885   3    7.5    -0.1      19    56.9     ---
   1885   4   11.4     2.4       7    38.7     ---
   1885   5   12.2     3.1       5    98.1     ---
   1885   6   17.8     7.6       0    43.0     ---
   1885   7   21.4     9.7       0    32.9     ---
   1885   8   16.5     8.7       0    69.5     ---
   1885   9   16.2     6.2       0    61.3     ---
   1885  10    9.8     3.7       1   115.2     ---
   1885  11    7.9     2.4       5    48.2     ---
   1885  12    6.3    -0.1      13    14.3     ---
   1886   1    3.8    -1.4      21    96.4     ---
   1886   2    4.0    -1.8      22    23.1     ---
   1886   3    6.5    -0.1      18    62.8     ---
   1886   4   10.0     2.4       2    38.4     ---
   1886   5   12.9     4.7       1    67.0     ---
   1886   6   17.5     7.7       0    23.7     ---
   1886   7   20.8    10.3       0   129.2     ---
   1886   8   19.9    10.3       0    23.5     ---
   1886   9   16.4     8.6       0    38.5     ---
   1886  10   12.9     7.3       0   128.4     ---
   1886  11    9.2     2.5       3    90.8     ---
   1886  12    3.7    -1.4      18    90.3     ---
   1887   1    4.4    -1.1      18    37.1     ---
   1887   2    7.4     0.1      14    13.6     ---
   1887   3    7.7    -0.5      16    52.8     ---
   1887   4   10.4     0.9      12    19.6     ---
   1887   5   12.4     4.3       2    51.8     ---
   1887   6   20.3     9.1       0     6.4     ---
   1887   7   23.0    11.2       0    20.7     ---
   1887   8   20.4     9.1       0    38.1     ---
   1887   9   15.0     6.9       1   114.6     ---
   1887  10   10.3     3.3       7    58.2     ---
   1887  11    6.6     1.5       9    75.9     ---
   1887  12    4.7    -0.1      20    58.3     ---
   1888   1    6.0     0.3      13    18.6     ---
   1888   2    4.2    -0.4      20    31.8     ---
   1888   3    4.9    -0.3      23   103.4     ---
   1888   4    9.3     1.8      10    61.8     ---
   1888   5   15.0     4.6       2    13.3     ---
   1888   6   15.1     7.0       0    40.7     ---
   1888   7   16.7     8.6       0   209.7     ---
   1888   8   17.6     9.0       0    43.5     ---
   1888   9   15.4     6.7       0    32.8     ---
   1888  10   12.1     4.1       6    17.2     ---
   1888  11    9.1     4.4       0   104.0     ---
   1888  12    6.9     1.3      13    18.6     ---
   1889   1    6.4     0.6      12    20.7     ---
   1889   2    5.6    -0.5      19    26.0     ---
   1889   3    8.0     0.3      13    57.5     ---
   1889   4    9.7     2.6       1    54.5     ---
   1889   5   17.0     7.0       0    38.0     ---
   1889   6   20.0     9.0       0     9.5     ---
   1889   7   19.4     9.5       0    68.1     ---
