Lerwick
Location: 4453E 11397N, 82 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax   tmin      af    rain     sun
              degC   degC    days      mm   hours
   1930  12   7.0     3.6     ---   122.4    13.1
   1931   1   4.9     0.2      13   108.0    29.7
   1931   2   4.4    -0.3      12   138.3    52.6
   1931   3   4.2    -1.0      17    18.2   135.7
   1931   4   8.1     2.5       1    70.9   134.7
   1931   5  10.7     5.3       0    67.6   122.7
   1931   6  11.4     5.7       1    54.5   175.2
   1931   7  13.7     9.1       0    93.0    67.1
   1931   8  13.9     8.0       0     9.3   163.8
   1931   9  11.8     6.6       0    30.7   119.7
   1931  10   9.8     4.5       5    87.4    77.8
   1931  11   9.2     6.1       0   137.1    31.3
   1931  12   7.2     2.7       4   138.6     4.8
   1932   1   7.7     2.6       4   110.8    26.8
   1932   2   7.4     2.7       2    20.5    59.5
   1932   3   6.0     1.3       9    81.4    72.1
   1932   4   7.4     1.1       7    96.6   131.5
   1932   5  10.6     4.7       0    43.2   184.7
   1932   6  12.3     6.7       0    38.0   201.8
   1932   7  14.6     9.7       0    75.5   122.8
   1932   8  14.3     9.4       0    86.3    89.6
   1932   9  11.8     6.5       0   136.1    96.0
   1932  10   8.7     3.9       2   100.5    73.0
   1932  11   8.1     3.5       2    92.2    40.4
   1932  12   7.3     3.0       5    72.9    19.2
   1933   1   6.2     2.5       2   136.0    19.9
   1933   2   4.4    -0.6      17    76.9    34.0
   1933   3   7.6     2.9       2    84.6    96.5
   1933   4   7.9     2.5       3    64.3    86.7
   1933   5  10.3     5.2       0    20.5    74.5
   1933   6  15.1     9.0       0    29.5   229.8
   1933   7  16.1    11.2       0    42.9   141.2
   1933   8  15.6    10.6       0    86.1   123.1
   1933   9  14.2     8.9       0    60.5   122.4
   1933  10  10.6     5.9       0   123.6    67.9
   1933  11   7.8     4.0       0    89.9    35.6
   1933  12   7.2     3.9       0    63.4     7.3
   1934   1   7.1     2.8       2   129.9    15.5
   1934   2   7.6     3.2       3    86.1    33.0
   1934   3   6.3     1.5       5    84.1   102.4
   1934   4   7.8     2.6       1    83.3   120.8
   1934   5  10.1     4.6       1    85.7   185.0
   1934   6  13.3     7.2       0    34.8   181.0
   1934   7  15.2    10.8       0    54.4    78.8
   1934   8  15.1    11.0       0    89.1   130.2
   1934   9  13.5     9.2       0   105.4   131.3
   1934  10   9.9     5.3       1   154.9    78.0
   1934  11   7.5     3.2       1    77.0    37.4
   1934  12   7.8     5.4       1   129.2     5.3
   1935   1   6.3     2.6       6    88.3    21.3
   1935   2   5.2     0.4      12   116.9    50.5
   1935   3   7.5     3.0       2    96.0   115.8
   1935   4   7.8     2.5       6    56.3   112.8
   1935   5  10.1     4.4       2    24.2   155.5
   1935   6  12.2     7.1       0    52.1   111.8
   1935   7  14.1     8.9       0   143.5   162.8
   1935   8  14.6    10.3       0   108.9    94.9
   1935   9  12.7     8.7       0   121.7    82.9
   1935  10   9.2     5.5       1   165.6    43.6
   1935  11   8.0     4.9       0    93.5    32.5
   1935  12   5.1     1.4       8   153.9    22.6
   1936   1   4.1     0.1      13   111.3    25.1
   1936   2   4.7     0.6       8    90.5    29.2
   1936   3   6.4     2.0       7    62.0    62.1
   1936   4   7.4     1.4       8    37.1   165.0
   1936   5  11.0     5.1       0    27.4   216.6
   1936   6  14.0     7.0       0    25.7   239.7
   1936   7  16.0    10.8       0   111.5   144.6
   1936   8  14.9    10.7       0    63.1    86.7
   1936   9  13.4     8.9       0    57.6    98.0
   1936  10  10.3     5.8       0   107.5    75.9
   1936  11   8.2     3.9       0    75.6    27.1
   1936  12   6.9     2.2       5   105.4     7.3
   1937   1   5.4     2.1       6   149.0    12.1
   1937   2   4.4     0.2      11   101.6    58.8
   1937   3   4.1    -0.9      20    67.6   127.3
   1937   4   8.7     3.7       0    42.7   116.8
