Leuchars
Location: 3468E 7209N, 10 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1957   1    8.0     1.6       7    70.2    59.0
   1957   2    6.9     0.1      15    85.7    92.0
   1957   3   10.4     4.6       0    38.5    78.2
   1957   4   11.9     4.5       1    11.6   164.3
   1957   5   13.2     5.6       0    32.1   200.7
   1957   6   17.7     9.1       0    18.5   246.9
   1957   7   18.0    11.8       0   126.2   119.8
   1957   8   17.5    11.0       0    78.1   129.3
   1957   9   14.6     8.0       0    36.9   131.5
   1957  10   13.5     6.4       0    36.0    93.9
   1957  11    9.2     4.0       4    31.8    53.4
   1957  12    7.2     1.2       9    78.8    62.9
   1958   1    5.5    -1.0      16    42.7    64.9
   1958   2    6.3    -0.3      14    59.4    71.0
   1958   3    5.5     0.1      15   103.5   110.8
   1958   4   10.8     3.4       4    43.9   155.4
   1958   5   13.4     5.9       0    50.1   214.5
   1958   6   14.7     8.9       0    60.1   123.8
   1958   7   18.3    11.0       0   131.3   175.9
   1958   8   17.8    10.9       0    65.7   122.4
   1958   9   17.1    10.5       0    47.6   127.3
   1958  10   14.0     7.2       0    38.7   143.2
   1958  11    9.6     2.7       4    16.0    47.4
   1958  12    6.3     1.1       8    97.2    56.8
   1959   1    4.0    -2.4      24    22.3   101.4
   1959   2    7.3     0.8      11     5.5    59.6
   1959   3    9.4     3.5       2    26.7    93.4
   1959   4   12.6     4.9       0    52.7   170.4
   1959   5   14.1     6.8       0    14.3   193.1
   1959   6   16.9     9.8       0    49.4   208.7
   1959   7   19.9    11.4       0    83.9   207.0
   1959   8   19.7    12.4       0    19.6   171.4
   1959   9   18.0     9.0       0    11.2   171.8
   1959  10   14.6     7.9       0    32.7   109.6
   1959  11    9.8     3.9       5   126.3    57.9
   1959  12    7.5     1.8       6   127.2    27.9
   1960   1    5.9     0.3      12   107.3    54.2
   1960   2    5.9    -1.0      18    57.1   120.3
   1960   3    7.2     3.0       3    42.3    78.4
   1960   4   12.7     4.9       1    50.9   131.4
   1960   5   15.7     6.6       1    44.6   209.4
   1960   6   18.4    10.0       0    37.0   221.4
   1960   7   17.8     9.8       0    79.3   156.3
   1960   8   17.8    10.1       0   109.7   161.8
   1960   9   16.0     8.7       0    39.4   126.7
   1960  10   12.1     7.3       0   126.1    48.1
   1960  11    8.8     1.6      10    84.9    69.0
   1960  12    5.4    -0.5      20    54.7    57.4
   1961   1    5.5    -0.3      15    67.4    46.3
   1961   2    9.0     2.5       6    41.6    81.5
   1961   3   12.4     4.1       3    19.7   131.8
   1961   4   11.4     4.4       4    63.1   108.4
   1961   5   14.3     5.5       1    19.2   203.7
   1961   6   17.8     8.6       0    25.0   202.0
   1961   7   17.6     9.8       0    83.8   156.6
   1961   8   18.3     9.4       0    96.4   171.3
   1961   9   16.8     8.9       0    63.5   108.8
   1961  10   12.8     6.1       0    74.9   117.9
   1961  11    8.1     1.4      13    33.3    78.1
   1961  12    3.9    -2.3      22    72.4    49.9
   1962   1    6.3    -0.5      14    77.9    79.0
   1962   2    7.6     0.9      10    19.1    94.3
   1962   3    6.2    -1.4      16    20.7   136.2
   1962   4   10.6     1.7       9    31.5   203.2
   1962   5   13.5     4.9       0    28.7   187.9
   1962   6   18.4     7.2       0    16.2   222.0
   1962   7   16.4     9.1       0    95.1   172.4
   1962   8   17.0     8.8       0   113.2   190.3
   1962   9   14.7     8.3       0    95.2    78.4
   1962  10   13.1     6.3       2    12.2   100.2
   1962  11    7.8     1.4      13    68.9    68.3
   1962  12    5.4    -1.1      20    46.0    49.2
   1963   1    2.8    -2.7      22    48.4    50.8
   1963   2    3.3    -3.6      23    47.9    86.8
   1963   3    8.7     1.1       9    64.2   107.0
   1963   4   10.6     3.3       4    44.3   147.1
   1963   5   13.4     4.5       0    31.8   214.9
   1963   6   15.8     8.8       0    60.6   156.3
   1963   7   17.0     9.1       0    45.3   165.1
   1963   8   16.4     9.0       0   143.9    97.4
   1963   9   15.8     7.5       0    54.8   158.3
   1963  10   13.5     5.5       0    29.7   109.6
   1963  11    8.5     3.3       8   193.8    51.2
   1963  12    5.9     0.4      15    13.3    47.7
   1964   1    7.1     0.7       9    19.9    53.7
   1964   2    7.0     0.7      10    26.8    81.1
   1964   3    6.3     1.9       5    82.0    49.0
   1964   4   11.7     4.8       2    44.8   133.4
   1964   5   14.4     6.9       0    21.7   162.4
   1964   6   17.0     8.2       0    79.6   215.3
   1964   7   19.0    10.0       0    22.7   199.4
   1964   8   17.6     9.6       0    68.5   146.5
   1964   9   16.2     7.7       0    57.8   150.6
   1964  10   11.8     4.2       2    32.7    82.5
   1964  11    9.3     1.9      10    19.2    76.0
   1964  12    5.9    -0.6      17    56.4    50.8
   1965   1    5.0    -0.8      17    56.7    73.6
   1965   2    6.7     0.1      11     5.6    61.7
   1965   3    7.3     0.3      13    54.6    91.4
   1965   4   11.7     2.1       3    27.6   186.8
   1965   5   13.2     5.8       1    53.4   155.0
   1965   6   17.1     8.9       0    77.5   178.1
   1965   7   14.9     8.3       0    87.9   125.2
   1965   8   17.0     8.8       0    48.0   156.9
   1965   9   15.0     8.5       0    93.1    87.2
   1965  10   12.6     6.5       2    57.2    76.7
   1965  11    6.6     0.6      16    70.8    78.6
   1965  12    4.9    -1.3      21    59.6    52.8
   1966   1    5.0    -0.1      12    57.4    36.7
   1966   2    5.5    -0.2      14   102.0    37.4
   1966   3   10.5     2.4       6    11.2   146.2
   1966   4    8.3     2.3       8   100.0   121.2
   1966   5   14.6     4.9       0    50.6   227.5
   1966   6   16.3     9.6       0    89.8   109.3
   1966   7   18.6     9.0       0    44.2   203.3
   1966   8   16.0     9.4       0   139.8   119.0
   1966   9   16.7     9.4       0    52.8   122.1
   1966  10   12.3     4.7       2    80.4    89.7
   1966  11    7.6     1.2      11    41.9    67.5
   1966  12    6.3     0.1      12    68.6    61.9
   1967   1    6.7     0.9      12    53.2    76.0
   1967   2    7.9     1.7       8    44.4    79.3
   1967   3    9.8     2.5       4    30.4   161.4
   1967   4   12.2     3.1       5    12.5   181.3
   1967   5   12.1     5.0       2    99.6   115.4
   1967   6   17.1     7.8       0    20.4   217.2
   1967   7   19.1     9.9       0    33.9   173.1
   1967   8   18.7     9.7       0    61.3   168.5
   1967   9   16.2     8.7       0    70.1   104.4
   1967  10   12.9     5.7       0    80.2   135.1
   1967  11    8.8     2.0       4    54.1    86.6
   1967  12    7.0     1.1      13    20.5    82.4
   1968   1    6.5     0.2      15    39.8    57.9
   1968   2    4.8    -1.9      20    37.8    79.2
   1968   3    9.6     1.7      10    25.7   106.6
   1968   4   10.6     2.4      11    58.9   162.4
   1968   5   11.0     3.9       2   113.5   117.1
   1968   6   17.3     8.0       0    17.8   200.4
   1968   7   16.5    10.4       0    83.2   115.9
   1968   8   17.6     9.6       0    46.8   188.0
   1968   9   15.6     8.6       0    66.2   100.2
   1968  10   14.0     7.6       1   111.9    81.7
   1968  11    8.5     2.9       6    51.5    32.5
   1968  12    6.0     0.2      15    39.4    36.6
   1969   1    7.2     1.0      11    80.5    59.2
   1969   2    3.5    -2.0      17    36.7    73.5
   1969   3    5.6     0.0      12    43.9    92.2
   1969   4   10.2     1.7       9    46.7   161.1
   1969   5   12.1     5.7       0   151.7   136.1
   1969   6   17.1     8.3       0    54.0   218.3
