Newton Rigg
Location 3493E 5308N, 169 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    3.5    -3.3      23     ---    76.9
   1959   2    7.4     0.5      13     ---    70.3
   1959   3    9.5     2.9       3     ---    85.5
   1959   4   11.4     3.7       2     ---   129.1
   1959   5   17.9     6.6       1     ---   230.3
   1959   6   18.0     9.2       0     ---   196.4
   1959   7   19.3    10.4       0     ---   196.3
   1959   8   20.0    10.6       0     ---   173.2
   1959   9   18.5     7.3       0     ---   168.7
   1959  10   15.4     7.2       1     ---   120.8
   1959  11    8.9     3.6       5     ---    41.7
   1959  12    7.2     2.1       2     ---    20.3
   1960   1    5.5    -0.4      17     ---    42.0
   1960   2    5.4    -0.7      19     ---    84.4
   1960   3    8.0     2.4       3     ---    91.9
   1960   4   12.2     3.9       4     ---   162.7
   1960   5   16.5     6.4       0     ---   218.8
   1960   6   20.3     9.1       0     ---   265.3
   1960   7   17.5    10.0       0     ---   140.3
   1960   8   17.6     8.9       0     ---   159.1
   1960   9   15.5     7.7       0     ---   128.1
   1960  10   12.5     5.8       2     ---    71.5
   1960  11    8.3     2.4       6     ---    52.6
   1960  12    5.5    -0.5      19     ---    53.6
   1961   1    5.1    -0.5      13   150.9    42.2
   1961   2    8.5     2.6       4    71.1    76.7
   1961   3   10.8     4.5       1    21.3   119.8
   1961   4   12.4     5.0       2    66.4   106.2
   1961   5   14.3     5.4       0    43.4   182.0
   1961   6   16.5     8.5       0    31.6   159.4
   1961   7   16.6     9.8       0   112.9   117.7
   1961   8   17.2     9.1       0    80.6   155.4
   1961   9   17.6     9.9       0    61.2   120.9
   1961  10   12.7     6.5       0   143.6    94.5
   1961  11    8.5     2.3       7    52.4    61.8
   1961  12    3.9    -3.0      21    75.6    49.0
   1962   1    6.5     0.0       9   165.5    58.0*
   1962   2    6.7     0.5      10    56.5    84.1
   1962   3    5.3    -2.1      20    23.6   106.6
   1962   4   10.7     2.4       5    61.3   147.3
   1962   5   13.6     5.2       0    58.8   160.7
   1962   6   16.8     7.1       0    33.8   177.6
   1962   7   17.2     9.0       0    50.5   104.5
   1962   8   16.0     9.7       0   129.6   127.3
   1962   9   14.5     8.2       0   110.3    81.5
   1962  10   13.0     5.0       2    42.0   107.8
   1962  11    7.1     0.8       9    62.4    42.6
   1962  12    5.2    -1.9      21    58.6    64.1
   1963   1    1.7    -4.0      25    15.3    71.1
   1963   2    1.8    -5.4      28    28.3    90.0
   1963   3    8.3     1.7       8    95.3   119.2
   1963   4   11.1     3.7       2    66.1   120.0
   1963   5   13.3     5.1       0    58.8   213.9
   1963   6   18.0     8.9       0    76.6   191.0
   1963   7   18.1     9.2*      0*   48.9   164.9
   1963   8   16.4     9.4       0    93.2   120.2
   1963   9   15.7     7.1       0    81.9   158.8
   1963  10   12.7     6.2       0    58.1    94.7
   1963  11    9.2     3.3       5   173.9    35.6
   1963  12    4.7    -0.6      14    28.3    47.9
   1964   1    6.4     0.5      11    26.8*   58.9
   1964   2    6.3     0.8      12    25.4*   60.8
   1964   3    6.0     0.9      12    62.4*   49.4
   1964   4   11.1     4.6       2    57.1*  121.2
   1964   5   15.8     7.5       0    41.9*  196.5
   1964   6   15.6     8.9       0    67.6*  151.1
   1964   7   17.7    10.7       0    47.8*  158.9
   1964   8   17.7     9.5       0    69.5*  161.9
   1964   9   16.6     7.7       1    51.0*  146.7
   1964  10   11.5     4.5       3    60.5*   83.6
   1964  11    9.8     3.0       7    37.9*   62.2
   1964  12    5.5    -0.8      16   146.3*   42.6
   1965   1    4.8    -0.8      16   117.6    53.1
   1965   2    5.2     0.3      11    19.5    41.7
   1965   3    7.8    -0.3      10    57.4   118.5
   1965   4   11.3     2.4       5    55.9   169.1
