Ross-On-Wye
Location: 3598E 2238N, 67 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1930  12    7.4     2.0       7    83.8    30.5
   1931   1    6.7     0.6      14    35.2    75.6
   1931   2    7.3     1.3       8    43.5    76.6
   1931   3    8.6    -0.5      17     9.5   134.6
   1931   4   11.2     4.7       0    68.9    97.0
   1931   5   15.5     7.0       0    80.9   152.4
   1931   6   19.0    10.8       0    80.9   180.8
   1931   7   19.0    11.7       0   108.0   130.7
   1931   8   18.7    10.6       0   124.6   147.2
   1931   9   15.9     7.8       0    44.7    94.8
   1931  10   13.4     3.9       9    14.2   109.5
   1931  11   11.1     5.2       0   134.6    63.5
   1931  12    8.0     3.2       7    33.0    46.1
   1932   1    9.3     3.6       6   100.9    48.0
   1932   2    5.7     0.3      17     2.1    58.6
   1932   3    9.2     0.1      14    43.9   141.2
   1932   4   10.3     3.4       1    66.8   107.1
   1932   5   14.2     6.9       1   133.7   103.8
   1932   6   19.5     9.1       0    40.0   227.4
   1932   7   20.1    12.4       0    54.0   134.5
   1932   8   22.2    13.0       0    48.7   173.6
   1932   9   17.6     8.8       0    86.0   127.6
   1932  10   12.9     4.2       4   134.6   108.3
   1932  11    9.4     3.7       4    34.9    49.5
   1932  12    8.2     3.5       4    41.3    55.9
   1933   1    5.6    -1.0      19    57.6    91.5
   1933   2    7.7     0.4      16    89.9    95.3
   1933   3   12.6     2.3      11    62.4   178.2
   1933   4   13.9     3.5       3    26.9   163.7
   1933   5   17.2     7.5       0    47.6   159.8
   1933   6   20.8    10.0       0    50.2   196.9
   1933   7   23.0    12.6       0    43.5   229.1
   1933   8   23.4    11.9       0    14.0   244.3
   1933   9   20.0     9.7       0    71.5   162.6
   1933  10   13.4     5.9       2    92.5    85.9
   1933  11    8.4     2.6       8    14.2    70.7
   1933  12    3.3    -1.2      19    17.4    44.8
   1934   1    7.9     1.0      13    70.0    55.6
   1934   2    7.9    -0.8      19     9.6   118.5
   1934   3    9.3     1.0       9    54.8   112.3
   1934   4   12.1     4.2       3    47.4   118.9
   1934   5   17.1     6.7       0    32.7   211.2
   1934   6   20.7    10.4       0    21.6   198.3
   1934   7   24.8    12.6       0    17.0   270.6
   1934   8   20.4    10.4       0    45.4   180.6
   1934   9   19.2     9.3       0    45.0   140.9
   1934  10   13.8     6.9       1    28.3    84.3
   1934  11    9.0     3.5       5    49.2    26.1
   1934  12   10.5     6.0       0   147.6    37.9
   1935   1    7.5     2.9       6    17.1    52.7
   1935   2    9.7     3.2       6    48.6    56.5
   1935   3   10.9     2.4       6    11.4   132.6
   1935   4   12.5     4.5       0   102.4   142.3
   1935   5   15.1     5.2       1    22.9   192.7
   1935   6   19.5    11.0       0    80.5   180.6
   1935   7   23.0    12.5       0     6.3   256.6
   1935   8   22.4    11.0       0    32.0   193.6
   1935   9   18.0     9.6       0    95.8   149.0
   1935  10   13.5     5.5       5    90.9    93.1
   1935  11    9.9     3.7       5   140.9    59.0
   1935  12    6.1     1.3       7    88.0    63.4
   1936   1    6.8     1.0      12   112.3    35.1
   1936   2    5.9    -1.3      18    60.6    90.4
   1936   3   10.7     3.5       4    65.4    70.0
   1936   4   10.2     2.7       2    55.5   145.0
   1936   5   16.6     6.8       0    21.4   167.9
   1936   6   19.3     9.9       0    99.9   153.5
   1936   7   18.5    11.6       0   148.8   125.2
   1936   8   21.3    11.2       0     4.3   185.4
   1936   9   18.3    10.1       0    71.0    91.0
   1936  10   13.3     4.9       2    39.0   106.4
   1936  11    8.9     2.5       7    62.4    42.0
   1936  12    8.7     3.2       4   101.2    53.3
   1937   1    8.4     2.9       7   102.3    40.3
   1937   2    8.9     3.6       3    89.1    58.4
   1937   3    7.1     0.2      16   104.5   101.4
   1937   4   13.1     5.7       0    47.5   102.3
   1937   5   16.6     7.3       0    60.5   199.2
   1937   6   19.0     9.3       0    26.9   184.0
   1937   7   20.2    12.0       0    86.5   126.1
   1937   8   22.3    10.8       0    22.2   202.4
   1937   9   18.1     8.6       0    58.6   152.6
   1937  10   13.8     6.3       0    87.5    82.8
   1937  11    7.7     1.2       8    30.2    52.6
   1937  12    5.8     0.4      12    54.7    48.1
   1938   1    9.1     3.7       0    66.9    45.1
   1938   2    8.1     2.3       3    17.6    54.1
   1938   3   14.4     3.3      11     0.5   163.1
   1938   4   13.4     1.9       7     1.5   217.6
   1938   5   15.4     6.5       0    47.8   143.2
   1938   6   19.1    10.4       0    26.7   197.4
   1938   7   19.7    10.9       0    57.9   150.5
   1938   8   20.0    11.5       0    71.4   128.5
   1938   9   18.2     8.2       0    29.3   104.9
   1938  10   14.2     7.1       0    70.6   101.2
   1938  11   12.4     6.5       0    81.5    73.6
