St. Mawgan
Location: 1872E 641N, 103 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1955  11    ---     ---     ---     ---    99.6
   1955  12    ---     ---     ---     ---    38.4
   1956   1    ---     ---     ---     ---    50.6
   1956   2    ---     ---     ---     ---   128.0
   1956   3    ---     ---     ---     ---   169.1
   1956   4    ---     ---     ---     ---   225.9
   1956   5    ---     ---     ---     ---   267.0
   1956   6    ---     ---     ---     ---   232.0
   1956   7    ---     ---     ---     ---   196.4
   1956   8    ---     ---     ---     ---   223.9
   1956   9    ---     ---     ---     ---    80.3
   1956  10    ---     ---     ---     ---   125.3
   1956  11    ---     ---     ---     ---    56.8
   1956  12    ---     ---     ---     ---    39.6
   1957   1    9.2     4.2       4    79.6    78.1
   1957   2    9.7     4.7       2   113.5    93.8
   1957   3   12.5     7.8       0    93.7   104.5
   1957   4   12.6     5.9       0    10.7   194.6
   1957   5   14.4     7.4       0    46.7   265.9
   1957   6   19.0    10.9       0    51.9   321.7
   1957   7   18.7    13.5       0    70.2   163.0
   1957   8   18.3    13.2       0    86.0   203.3
   1957   9   16.3    11.6       0    95.1   128.5
   1957  10   14.8     9.4       0    97.4    98.2
   1957  11    9.8     4.8       0    78.4    81.6
   1957  12    9.3     3.8       3    89.2    71.5
   1958   1    8.5     3.7       6   123.0    51.2
   1958   2    9.5     4.8       4   135.8    38.0
   1958   3    7.8     2.5       8    62.2    99.9
   1958   4   11.0     4.5       3    27.0   169.0
   1958   5   14.1     8.2       0    89.9   216.5
   1958   6   16.3    10.6       0   100.7   208.5
   1958   7   18.0    12.4       0    80.1   165.8
   1958   8   17.8    13.0       0   189.4   124.8
   1958   9   18.1    12.4       0   152.8   157.9
   1958  10   14.0     9.5       0    90.2    96.3
   1958  11   10.7     5.8       0    78.5    66.1
   1958  12    9.3     3.8       3   133.3    61.6
   1959   1    7.9     2.6       6   136.1    68.4
   1959   2    9.0     3.5       4    13.8    96.5
   1959   3   10.7     5.2       2   115.1   142.1
   1959   4   12.3     6.7       0    61.0   187.8
   1959   5   16.2     8.7       0    38.0   274.4
   1959   6   17.6    11.3       0    21.8   269.6
   1959   7   20.2    13.1       0    43.6   275.4
   1959   8   19.8    13.3       0   165.7   217.9
   1959   9   21.0    11.5       0    10.1   257.8
   1959  10   16.1    11.1       0   171.7   127.3
   1959  11   11.5     6.4       0   183.9    70.5
   1959  12   10.1     5.7       0   233.0    34.3
   1960   1    8.7     3.6       6    92.1    74.7
   1960   2    8.0     2.5       5   102.2   108.9
   1960   3   10.5     5.6       0    76.6    87.0
   1960   4   12.0     6.1       0    91.2   201.0
   1960   5   16.0     9.3       0    42.4   214.4
   1960   6   19.0    11.7       0    25.0   280.3
   1960   7   17.6    12.5       0   103.5   196.1
   1960   8   18.0    12.1       0   122.2   203.8
   1960   9   16.8    11.0       0   143.9   176.1
   1960  10   13.7     8.7       0   164.3   106.1
