Tiree
Location: 998E 7448N, 12 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1928   1    ---     ---     ---     ---    42.8
   1928   2    ---     ---     ---     ---    59.2
   1928   3    ---     ---     ---     ---    96.4
   1928   4    ---     ---     ---     ---   183.6
   1928   5    ---     ---     ---     ---   249.6
   1928   6    ---     ---     ---     ---   258.3
   1928   7    ---     ---     ---     ---   105.7
   1928   8    ---     ---     ---     ---   173.0
   1928   9    ---     ---     ---     ---   145.2
   1928  10    ---     ---     ---     ---    66.3
   1928  11    ---     ---     ---     ---    49.2
   1928  12    ---     ---     ---     ---    25.7
   1929   1    ---     ---     ---     ---    46.2
   1929   2    ---     ---     ---     ---    25.6
   1929   3    ---     ---     ---     ---   144.8
   1929   4    ---     ---     ---     ---   241.6
   1929   5    ---     ---     ---     ---   243.0
   1929   6    ---     ---     ---     ---   241.6
   1929   7    ---     ---     ---     ---   175.5
   1929   8    ---     ---     ---     ---   121.3
   1929   9    ---     ---     ---     ---    87.9
   1929  10    ---     ---     ---     ---    90.3
   1929  11    ---     ---     ---     ---    50.8
   1929  12    ---     ---     ---     ---    27.9
   1930   1    ---     ---     ---     ---    30.1
   1930   2    ---     ---     ---     ---    84.5
   1930   3    ---     ---     ---     ---   114.4
   1930   4    ---     ---     ---     ---   214.0
   1930   5    ---     ---     ---     ---   215.7
   1930   6    ---     ---     ---     ---   219.6
   1930   7    ---     ---     ---     ---   132.9
   1930   8    ---     ---     ---     ---   125.2
   1930   9    ---     ---     ---     ---   122.7
   1930  10    ---     ---     ---     ---    66.9
   1930  11    ---     ---     ---     ---    66.9
   1930  12    8.2     3.9       3   161.0    33.9
   1931   1    7.5     3.4       1   140.4    38.1
   1931   2    7.0     2.4       3   117.3    86.2
   1931   3    6.9     2.7       4    36.9   121.7
   1931   4    9.3     4.7       1    58.0   168.4
   1931   5   12.5     7.6       0    87.5   208.3
   1931   6   13.3     9.2       0    99.0   137.7
   1931   7   15.0    10.8       0    91.1   122.6
   1931   8   15.6    10.6       0    26.3   213.7
   1931   9   13.6     9.6       0    58.3   114.9
   1931  10   11.7     7.1       0    99.7    86.4
   1931  11   10.4     6.1       0   167.2    37.4
   1931  12    9.6     5.9       1    87.7    13.4
   1932   1    9.4     5.3       0   143.4    25.3
   1932   2    8.3     3.1       4     6.5   113.2
   1932   3    8.4     2.5       7    67.2   133.5
   1932   4    9.0     3.8       0    86.7   187.8
   1932   5   12.3     7.1       0    30.4   261.9
   1932   6   15.8    10.3       0    48.2   251.8
   1932   7   15.7    11.6       0   110.3   149.1
   1932   8   16.3    11.4       0    88.5   164.1
   1932   9   13.7     9.9       0    92.5   114.2
   1932  10   11.3     6.3       0   130.3    90.7
   1932  11    9.6     5.2       0   127.2    55.2
   1932  12    8.3     4.1       3   111.6    55.3
   1933   1    6.6     2.5       5   107.6    42.2
   1933   2    7.1     3.1       2    90.4    72.3
   1933   3    9.2     4.4       0    66.6   110.1
   1933   4   10.7     5.9       0    80.7   130.8
   1933   5   12.8     7.8       0    60.6   213.6
   1933   6   15.6    10.8       0    53.6   225.8
   1933   7   17.2    12.4       0   113.4   119.5
   1933   8   16.6    11.7       0   154.1   156.9
   1933   9   16.4    10.5       0    34.7   176.0
   1933  10   12.7     8.7       0   150.5    69.4
   1933  11    9.1     4.7       0    91.8    49.3
   1933  12    7.3     3.1       4    64.5    23.7
   1934   1    8.5     4.0       0   117.4    22.5
   1934   2    8.7     5.3       2    17.5    56.1
   1934   3    7.7     2.5       2    64.9   122.5
   1934   4    9.0     4.7       0    85.0   180.7
   1934   5   11.6     6.6       0    72.4   192.3
   1934   6   15.1     9.7       0    88.6   229.2
   1934   7   17.5    12.4       0    84.3   183.7
   1934   8   15.7    11.9       0   112.5   130.5
   1934   9   14.8    10.3       0   203.4   119.0
   1934  10   11.5     7.5       0   142.7    63.5
   1934  11    9.2     4.7       1    42.3    53.8
   1934  12    9.1     6.5       0   129.7    17.6
   1935   1    8.3     3.9       0    73.2    36.4
   1935   2    7.9     3.7       3   103.3    74.9
   1935   3    9.4     4.6       0    56.4   123.3
   1935   4   10.0     4.7       0    79.7   190.4
   1935   5   13.2     6.9       0    25.0   304.5
   1935   6   15.0     9.5       0    53.8   228.1
   1935   7   16.4    11.3       0    55.2   213.7
   1935   8   16.5    12.1       0   128.1   124.5
   1935   9   15.1    10.5       0   129.2   160.2
   1935  10   11.7     7.6       0   184.2    72.6
   1935  11    9.2     5.0       0   179.5    31.3
   1935  12    6.7     2.3       3    95.0    54.2
   1936   1    6.6     2.6       0    78.2    49.2
   1936   2    6.7     1.9       6    62.3    73.4
   1936   3    8.8     4.2       3    64.6    94.1
   1936   4    9.4     4.3       2    37.2   237.8
   1936   5   13.3     7.2       0    58.3   262.0
   1936   6   15.5     9.4       0    55.6   224.2
   1936   7   16.7    11.2       0    56.8   184.3
   1936   8   16.4    11.8       0    69.6   146.7
   1936   9   15.8    10.3       0   103.6   135.3
   1936  10   12.7     7.7       0    95.9   109.9
   1936  11    9.7     5.0       0   111.4    60.2
   1936  12    8.7     4.6       0   116.5    19.3
   1937   1    7.9     3.9       1   122.4    37.6
   1937   2    7.1     2.6       3    74.6    72.7
   1937   3    6.4     1.1       6    30.0   180.1
   1937   4   10.5     5.7       0    62.4    98.0
   1937   5   13.2     7.1       0    64.3   266.5
   1937   6   14.5     9.8       0    63.2   162.7
   1937   7   15.7    10.9       0    85.9   151.6
   1937   8   16.5    11.3       0    89.9   161.1
   1937   9   14.4    10.6       0   115.1   125.7
   1937  10   12.2     8.0       0    56.7    73.6
   1937  11    9.4     5.4       0    46.1    41.4
   1937  12    7.0     3.0       5    66.3    48.4
   1938   1    8.3     4.0       0   165.3    30.8
   1938   2    7.9     3.5       2    82.9    82.9
   1938   3   10.1     6.6       0   109.1    62.8
   1938   4   10.3     5.8       0     9.0   160.8
   1938   5   12.4     7.0       0    67.2   205.1
   1938   6   13.3     9.4       0    89.5   149.0
   1938   7   15.2    10.4       0    96.8   158.8
   1938   8   16.9    10.9       0   107.9   221.5
   1938   9   15.0    10.5       0   123.5   120.9
   1938  10   12.0     8.3       0   168.6    77.9
   1938  11   10.3     6.6       0   189.3    23.5
