Aberporth
Location: 2241E 2521N, 133 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1941   1    ---     ---    ---     74.7     ---
   1941   2    ---     ---    ---     69.1     ---
   1941   3    ---     ---    ---     76.2     ---
   1941   4    ---     ---    ---     33.7     ---
   1941   5    ---     ---    ---     51.3     ---
   1941   6    ---     ---    ---     25.7     ---
   1941   7    ---     ---    ---     53.9     ---
   1941   8    ---     ---    ---     91.8     ---
   1941   9    ---     ---    ---     25.5     ---
   1941  10    ---     ---    ---    106.2     ---
   1941  11    ---     ---    ---     92.3     ---
   1941  12    ---     ---    ---     86.5     ---
   1942   1    5.8     2.1    ---    114.0    58.0
   1942   2    4.2    -0.6    ---     13.8    80.3
   1942   3    9.7     3.7    ---     58.0   117.9
   1942   4   13.1     5.3    ---     42.5   200.1
   1942   5   14.0     6.9    ---    101.1   215.1
   1942   6   16.2     9.9    ---      2.3   269.3
   1942   7   17.4    11.3    ---     70.2   185.0
   1942   8   18.7    12.3    ---     78.5   141.9
   1942   9   16.4    10.7    ---    146.8   129.1
   1942  10   13.1     8.2    ---    131.1    82.1
   1942  11    9.2     4.6    ---     19.8    62.9
   1942  12    9.6     6.2    ---    183.9    31.4
   1943   1    8.2     3.5    ---    176.7    41.4
   1943   2    8.9     4.6    ---     65.4    68.6
   1943   3   10.2     4.1    ---     21.0   156.2
   1943   4   13.0     6.8    ---     39.4   178.3
   1943   5   14.1     7.4    ---     83.5   233.3
   1943   6   15.9     9.8    ---     58.7   223.8
   1943   7   18.6    11.7    ---     57.3   240.5
   1943   8   18.1    12.0    ---     86.5   148.0
   1943   9   15.8    10.0    ---    127.1   110.6
   1943  10   13.6     8.3    ---    120.3    93.7
   1943  11    9.7     5.9    ---     93.0    47.4
   1943  12    6.9     2.7    ---     63.6    75.3
   1944   1    9.2     5.8    ---     87.9    23.7
   1944   2    6.5     3.1    ---     34.0    72.5
   1944   3    8.6     3.1    ---     17.0   153.2
   1944   4   12.7     6.6    ---     44.9   157.1
   1944   5   13.8     7.0    ---     37.2   242.3
   1944   6   15.4     9.9    ---     53.2   182.2
   1944   7   18.2    12.6    ---     54.5   112.7
   1944   8   19.7    12.8    ---    100.2   220.9
   1944   9   15.7    10.3    ---     80.7   132.7
   1944  10   12.1     7.8    ---    131.9    91.0
   1944  11    9.5     5.8    ---    156.2    28.9
   1944  12    7.7     4.3    ---     71.9    58.5
   1945   1    4.5     1.3    ---     58.8    58.1
   1945   2    9.6     5.1    ---    110.7    80.4
   1945   3   10.4     5.2    ---     34.3   124.1
   1945   4   13.3     6.6    ---     55.1   205.1
   1945   5   14.3     8.3    ---     82.8   166.3
   1945   6   16.5    10.2    ---     68.5   193.7
   1945   7   17.4    12.2    ---    130.6   130.0
   1945   8   18.1    11.9    ---     41.9   164.2
   1945   9   17.1    11.3    ---     61.2   101.0
   1945  10   15.2     9.1    ---     66.9   117.5
   1945  11   10.7     5.6    ---     34.7    78.4
   1945  12    8.9     5.1    ---    116.2    36.1
   1946   1    6.9     2.2    ---    138.0    67.6
   1946   2    8.2     4.9    ---     78.6    53.0
   1946   3    8.7     2.6    ---     28.9   146.9
   1946   4   12.8     6.3    ---     30.9   192.2
   1946   5   14.1     6.7    ---     59.3   236.5
   1946   6   14.6     8.8    ---     79.4   197.5
   1946   7   17.1    11.2    ---     62.6   186.8
   1946   8   16.3    11.0    ---    121.6   159.9
   1946   9   16.3    11.3    ---    103.1   105.7
   1946  10   ---      8.2    ---     40.9   106.8
   1946  11   ---      7.6    ---    152.3    47.8
   1946  12    7.2     3.1    ---    106.6    56.7
   1947   1    5.8     1.4    ---    122.9    78.0
   1947   2   ---     -2.7    ---     53.9    50.0
   1947   3   ---      2.2    ---    191.1    80.3
   1947   4   ---      5.1    ---     85.6   162.1
   1947   5   13.9     8.0    ---     99.1   201.2
   1947   6   17.0    10.4    ---     67.4   161.5
   1947   7   17.4    11.7    ---     52.8   158.9
   1947   8   21.4    13.2    ---     20.2   278.3
   1947   9   17.5    11.4    ---     69.5   130.1
   1947  10   14.2     8.0    ---     29.9   136.9
   1947  11   10.1     6.5    ---    100.1    54.3
   1947  12    7.7     4.9    ---     92.9    29.7
   1948   1    8.2     4.6    ---    167.5    48.7
   1948   2    7.4     2.9    ---     56.8    89.6
   1948   3   13.5     5.8    ---     51.9   188.9
   1948   4   11.4     4.8    ---     36.4   213.7
   1948   5   14.2     6.7    ---     44.7   297.5
   1948   6   14.7     9.8    ---     59.4   145.0
   1948   7   16.9    11.6    ---    103.1   144.1
   1948   8   17.0    11.8    ---    102.4   146.7
   1948   9   15.7    11.1    ---     77.9   111.5
   1948  10   13.3     8.5    ---     87.4    93.6
   1948  11   11.5     6.9    ---     95.6    78.6
   1948  12    8.5     4.2    ---    175.9    87.2
   1949   1    8.6     5.0    ---     44.0    60.0
   1949   2    8.7     4.4    ---     36.6   105.0
   1949   3    8.7     3.3    ---     44.4   158.8
   1949   4   ---      6.7    ---     74.8   161.9
   1949   5   13.4     6.6    ---     67.9   247.2
   1949   6   17.4    11.3    ---     24.6   286.1
   1949   7   19.9    12.5    ---     45.0   267.5
