Braemar
Location: 3152E 7914N, 339 metres amsl (1959 to Apr 2005), & 3152E 7919N, 327 metres amsl (Aug 2005 onwards)
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    1.7    -5.7      27     ---    34.2
   1959   2    6.2    -3.2      15     ---    68.6
   1959   3    7.6     0.8       7     ---    80.9
   1959   4    ---     ---     ---     ---   105.0
   1959   5   15.6     4.6       1     ---   182.6
   1959   6   16.4     7.2       0     ---   164.8
   1959   7   18.0     8.5       0     ---   147.4
   1959   8   18.6    10.1       0     ---   106.3
   1959   9   17.0     5.4       1     ---   148.2
   1959  10   13.2     4.8       3     ---    87.8
   1959  11    7.0     1.3       8     ---    26.6
   1959  12    4.7    -0.6      14     ---     8.2
   1960   1    3.8    -2.4      21     ---    28.5
   1960   2    3.5    -5.6      23     ---    79.4
   1960   3    5.7     0.0      11     ---    50.9
   1960   4   10.5     2.4       6     ---    99.2
   1960   5   15.5     3.8       3     ---   160.8
   1960   6   18.3     8.0       0     ---   190.7
   1960   7   16.7     7.7       0     ---   120.9
   1960   8   15.9     7.2       0     ---    95.8
   1960   9   14.1     5.2       3     ---   106.5
   1960  10    9.3     5.2       0     ---    16.3
   1960  11    6.3    -0.2      12     ---    25.9
   1960  12    3.3    -3.3      18     ---    16.3
   1961   1    3.3    -2.7      22    71.8    22.6
   1961   2    6.6     0.4      11    52.5    54.0
   1961   3   10.1     2.6       7    25.1   106.3
   1961   4    9.8     2.5       6    51.5    95.9
   1961   5   13.1     3.4       3    36.7   199.6
   1961   6   15.2     6.4       1    25.3   157.8
   1961   7   15.9     7.7       0    81.3   111.5
   1961   8   15.9     7.6       0   100.1   133.0
   1961   9   15.0     7.2       0    97.7    80.4
   1961  10   10.9     4.2       2   158.2    61.9
   1961  11    6.0    -1.6      20    47.9    35.7
   1961  12    2.1    -4.7      22   102.2    24.7
   1962   1    4.5    -1.8      17   116.5    23.7
   1962   2    5.5    -1.2      15    87.8    51.3
   1962   3    3.3    -4.1      25    49.8    83.2
   1962   4    9.3    -0.5      15    43.2   167.6
   1962   5   12.3     2.5       5    70.5   153.2
   1962   6   15.7     6.9       0    43.1   191.4*
   1962   7   15.7*    6.5       0    50.4   156.2*
   1962   8   15.0*    7.1       1    93.9   132.7*
   1962   9   12.3     6.2       1   134.8    54.3*
   1962  10   11.4     5.3       3    42.6    61.4*
   1962  11    5.4    -0.1      14    70.9    25.2*
   1962  12    4.0    -1.9      19   138.3    22.6*
   1963   1   -0.7    -8.6      31    75.0    23.3*
   1963   2    0.7    -8.6      28    40.3    76.7*
   1963   3    7.0    -1.7      16    96.9    88.4*
   1963   4    9.4     1.2*     11*   57.1   150.8
   1963   5   11.5     2.5       4    67.0   164.1
   1963   6   17.0     7.0       0   125.7   172.6
   1963   7   16.1     7.7       0    48.3   154.5
   1963   8   14.8     7.5       1   111.3    88.6
   1963   9   13.7     6.1       1    89.5   110.0
   1963  10   11.7     4.4       3    73.4    79.7
   1963  11    6.4     0.6      12   124.7    33.4
   1963  12    3.8    -1.1      15    30.9    23.1
   1964   1    5.6    -1.1      17    33.2    33.8
   1964   2    5.1    -1.2      13    28.7    58.6
   1964   3    4.5    -0.6      15    56.8    38.9
   1964   4    9.8     2.6       4    52.5   111.4
   1964   5   14.1     4.8       0    56.3   169.1
   1964   6   15.5     6.1       2    55.2   163.3
   1964   7   16.8     8.6       0    36.8   173.5
   1964   8   16.1     7.0       3   106.2   139.7
   1964   9   14.5     5.5       2    91.2   119.1
   1964  10   10.3     1.7      10    38.5    68.0
   1964  11    7.5     0.4      12    55.4    31.0
   1964  12    4.1    -2.7      19    89.1    17.2
   1965   1    3.1    -3.1      24    71.6    28.0
   1965   2    4.5    -2.2      16    27.2    44.0
   1965   3    5.9    -2.9      21    33.5    96.9
   1965   4    9.9    -0.1       9    80.3   163.9
   1965   5   12.2     4.2       5    52.9   116.4
   1965   6   16.2     7.2       0    59.9   129.7
   1965   7   14.2     6.7       0    73.0   128.3
   1965   8   15.6     7.4       1    31.4   148.1
   1965   9   13.2     6.2*      1*  124.8    64.9
   1965  10   11.7     3.2       8    60.8    84.8
   1965  11    3.7    -2.3      18    89.0    39.1
   1965  12    2.9    -3.2      19    55.6    19.8
   1966   1    2.6    -2.8      20    48.6    17.0
   1966   2    3.0    -3.4      17    80.4    32.2
   1966   3    7.1     1.2       9    50.8   115.9
   1966   4    6.5    -1.1      16    49.4     ---
   1966   5   12.9     2.9       4    94.0   185.2
   1966   6   16.4     8.6       0   108.5    88.6
   1966   7   16.7     7.5       0    26.0   172.6
   1966   8   14.9     6.1       2    74.0   107.8
   1966   9   15.1     8.3       0    50.4   101.0
   1966  10    9.7     2.2      10   121.7    43.9
   1966  11    5.1    -1.3      14   122.9    27.1
   1966  12    4.0    -1.5      16   118.3    21.0
   1967   1    4.5     0.1      14   104.2    20.6
   1967   2    5.4     0.5       8    85.0    45.2
   1967   3    6.5     0.4      14   108.5   108.0
   1967   4    9.9     0.9      10    43.2   147.5
   1967   5   10.6     3.1       5   109.7   104.5
   1967   6   17.4     6.8       0    40.3   200.2
   1967   7   17.1     8.5       0    31.1   140.3
   1967   8   17.0     8.0       0    69.7   136.3
   1967   9   14.8     6.1       0    98.4    90.6
   1967  10    9.6     3.5       3   137.1    81.4
   1967  11    7.2    -0.5      14    78.9    46.9
   1967  12    5.2    -0.1      15    49.0    24.0
   1968   1    4.3    -2.5      17    70.9    22.3
   1968   2    2.0    -6.6      27    55.6    79.5
   1968   3    6.8     0.0      18    48.3    84.1
   1968   4   10.0     0.4      14    63.4   176.0
   1968   5    9.5     1.8       8    80.2   136.6
   1968   6   18.1     6.2       0    28.6   211.4
   1968   7   15.6     8.7       0   106.6    82.5
   1968   8   17.2     8.1       0    39.1   172.2
   1968   9   14.0     6.4       1    66.4    69.6
   1968  10   12.0     4.4       3   119.9    47.7
   1968  11    5.4     0.0      14    44.1    32.0
   1968  12    3.9    -1.2      15    80.9     6.6
   1969   1    5.6    -1.1      13   122.9    29.9
   1969   2    1.2    -6.0      25    64.6    48.0
   1969   3    3.3    -3.8      26    46.7    96.5
   1969   4    8.2    -0.3      13    59.8   157.4
   1969   5   11.6     3.3       1   131.4   105.7
   1969   6   16.8     6.2       1    61.8   181.5
   1969   7   18.4     9.2       0    22.2   185.6
   1969   8   18.5     9.3       0    58.0   157.2
   1969   9   15.2     6.7       1    42.3   128.2
   1969  10   13.7     6.5       0    41.7    72.1
   1969  11    4.4    -3.3      23    75.5    46.1
   1969  12    4.1    -1.6      18    49.4    24.3
   1970   1    3.2    -2.3      19    67.4    14.8
   1970   2    2.7    -5.0      24    91.1    74.3
   1970   3    4.4    -2.3      22    46.2   118.4
   1970   4    6.7    -0.8      18    60.3   139.8
   1970   5   14.5     5.2       0    58.9   145.7
   1970   6   18.9     6.4       0    91.4   239.3
   1970   7   15.0     7.5       0    92.2   103.2
   1970   8   17.8     8.6       0   118.8   164.9
   1970   9   14.4     6.5       2    85.8    83.1
   1970  10   10.5     3.5       5    67.9    70.4
   1970  11    6.1     0.5       9    94.9    33.2
   1970  12    4.9    -0.5      17    48.1    24.9
   1971   1    4.9    -0.7      15   102.5    19.8
   1971   2    5.8    -1.5      16    20.3    64.5
   1971   3    6.7    -0.9      18    49.8    80.7
   1971   4    9.9     0.4      12    53.7   127.3
   1971   5   13.8     3.2       6    54.0   206.4
   1971   6   13.6     5.3       0    55.7   146.6
   1971   7   18.1     8.3       0    54.8   184.6
   1971   8   16.6     8.2       0    45.8   143.3
   1971   9   16.4     6.7       3    36.3   154.6
   1971  10   12.3     3.6       7    52.0    94.8
   1971  11    6.8     0.3      15    88.3    29.8
   1971  12    7.9     2.7       7    55.8    12.8
   1972   1    3.3    -1.2      19   184.5    19.1
   1972   2    3.6    -1.8      23    76.4    30.5
   1972   3    7.0    -1.2      20    62.4   120.7
   1972   4    9.9     1.5       5    54.4   136.9
   1972   5   11.8     3.8       2    96.5   127.4
   1972   6   13.2     5.0       0    63.6   143.1
   1972   7   18.7     7.5       0    30.4   217.7
   1972   8   16.8     7.3       0    46.8   185.3
   1972   9   14.3     3.7       5    12.8   125.4
   1972  10   12.3     3.3       4    28.5    79.1
   1972  11    6.0    -0.7      14    63.1    42.6
   1972  12    5.3    -1.1      16    90.6    21.1
   1973   1    4.4    -1.1      16    56.9    33.8
   1973   2    4.7    -3.3      17    36.1    74.3
   1973   3    8.9    -1.0      16    21.7   132.5
   1973   4    7.1     0.5      12    68.9   111.4
   1973   5   12.0     3.4       7    64.7   144.3
   1973   6   16.9     7.1       2    31.9   161.2
   1973   7   17.8     8.8       1    58.2   163.8
   1973   8   17.7     8.1       1    41.8   168.4
   1973   9   14.6     6.5       1    79.7   118.3
   1973  10    9.9     2.3      10    46.4    92.8
   1973  11    5.9    -0.1      13    72.8    44.4
   1973  12    4.5    -1.4      15    99.2    11.1
   1974   1    5.9*    1.0       7   284.9    20.4
   1974   2    5.9    -0.5      14    49.9    32.2
   1974   3    6.4    -1.0      16    76.7    96.7
   1974   4   13.3    -0.8      17    19.1   207.3
   1974   5   12.6     3.9       2    50.6   147.9
   1974   6   16.1     5.5       0    51.0   177.9
   1974   7   15.8     7.7       0    45.4   135.3
   1974   8   16.2     7.4       1    49.3   136.9
   1974   9   12.3     5.2       3    50.2   102.5
   1974  10    8.1     3.0       4    99.4    30.8
   1974  11    6.2     0.7       9   126.4    33.2
   1974  12    7.2     2.1       7   119.8    28.3
   1975   1    6.3    -1.0      18   172.8    26.2
   1975   2    6.0    -2.2      17    35.6    80.1*
   1975   3    5.5    -1.8      22    32.0   104.5
   1975   4    9.2     1.6      11    71.5   121.0
   1975   5   12.9     2.8       3    38.5   201.1
   1975   6   17.6     6.2       2    43.3   215.9
   1975   7   19.0     9.5       0    73.1   151.1
   1975   8   21.0     9.6       0    68.2   211.0
   1975   9   13.5     5.8       3    88.3    96.4
   1975  10   11.6     4.3       5    31.2    81.0
   1975  11    6.9     0.5      13    71.8    34.8
   1975  12    7.1     1.6      10    31.2    17.3
   1976   1    5.4    -0.7      20   106.0    15.8
   1976   2    5.2    -0.8      16    30.8    48.7
   1976   3    5.2    -0.4      21    57.8    91.2
   1976   4   10.4     1.9       8    18.6   119.3
   1976   5   12.3     4.6       1   105.0   115.9
   1976   6   18.4     8.7       0    11.3   164.2
   1976   7   20.9     9.2       0    37.9   233.1
   1976   8   20.5     6.3       0    20.4   220.4
   1976   9   13.1     7.2       0   179.5    72.8
   1976  10   10.1     3.5       5   181.5    46.6
   1976  11    6.3    -0.3      13    61.4    41.3
   1976  12    1.9    -3.5      25    57.3    26.2
   1977   1    2.5    -3.8      22    84.7    33.9
   1977   2    3.0    -3.1      22    65.2    56.9
   1977   3    6.8     1.0       7   117.8    62.0
   1977   4    7.5     0.7      10    65.0   150.7
   1977   5   13.0     2.6      10    60.8   168.0
   1977   6   15.6     4.8       1    49.9   203.7
   1977   7   19.5     8.0       0    21.2   206.4
   1977   8   17.1     6.7       2    72.7   151.8
   1977   9   13.3     6.1       3    62.8    99.5
   1977  10   12.2     5.3       0   125.7    57.6
   1977  11    5.6*   -0.5      13   144.8    40.3
   1977  12    5.9    -0.3      14    72.5    14.6
   1978   1    3.0    -4.3      24    96.3    27.9
   1978   2    1.0    -8.4      21    69.2*   45.9*
   1978   3    7.1     0.4      16    97.9    91.3
   1978   4    7.2     0.2      14    43.3   106.8
   1978   5   15.4     3.7       7    41.5   191.7
   1978   6   16.5     6.4       1    55.6   193.8
   1978   7   16.6     7.9       0    52.0   156.1
   1978   8   16.5     9.4       0    93.3   116.4
   1978   9   13.7     7.9       0    57.3    79.3
   1978  10   12.5     6.5       0    27.8    58.9
   1978  11    9.0     2.5       7    98.7    41.9
   1978  12    3.5    -0.3      12   191.0    14.0
   1979   1    1.5    -7.4      28    71.0    33.4
   1979   2    1.5    -5.3      23    18.2    71.5
   1979   3    3.6    -2.0      22   108.9    95.6
   1979   4    7.7     1.6       7    78.0    93.8
   1979   5   11.4     2.6      11    82.9   142.2
   1979   6   17.6     7.6       0    52.2   168.4
   1979   7   17.8     8.4       0    82.6   153.7
   1979   8   15.3     7.6       0    71.8   102.2
   1979   9   14.5     6.1       4    38.6   136.2
   1979  10   11.5     5.7       4    92.8    58.0
   1979  11    6.8    -0.2      16    68.1    36.1
   1979  12    4.5    -0.6      13   150.9    17.8
   1980   1    2.5    -2.9      26   119.7    13.7
   1980   2    5.1    -1.4      16    70.7*   51.1
   1980   3    5.1    -2.3      21    73.5*   64.4
   1980   4   11.2     1.8       7     7.2   147.7
   1980   5   15.6     2.8       4    27.8   240.4
   1980   6   16.2     7.5       1    96.0   135.3
   1980   7   16.5     7.9       0    71.3   100.7
   1980   8   16.7     9.2       0    76.1   109.5
   1980   9   15.3     7.6       0    66.7    87.5
   1980  10    9.2     1.8      10   104.6    56.7
   1980  11    6.9     0.1      11    92.2    27.6
   1980  12    5.7     0.5      15    74.2    13.5
   1981   1    5.0    -1.9      20    80.1    32.3
   1981   2    3.8    -1.3      21    47.2    62.1
   1981   3    6.8    -0.2      18    78.5   101.7
   1981   4   11.0    -1.4      20    11.6   198.9
   1981   5   13.9     4.3       4    53.2   169.1
   1981   6   15.0     6.5       2    36.4   135.7
   1981   7   16.5     8.6       0    47.8   137.4
   1981   8   18.7     8.9       0    12.4   184.5
   1981   9   15.3     6.8       1   164.1   121.6
   1981  10    7.3     0.4      10   129.3    85.2
   1981  11    7.2     1.3      11   101.6    38.6
   1981  12    0.5    -7.2      27    74.8     ---
