Eastbourne
Location: 5611E 983N, 7 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    6.4     1.1      13   109.5   100.4
   1959   2    6.6     2.0       4     0.0    73.4
   1959   3   10.4     5.1       0    43.0   128.4
   1959   4   12.7     7.3       0    62.5   163.5
   1959   5   16.8     9.3       0    12.5   250.1
   1959   6   18.9    11.9       0    23.2   296.0
   1959   7   21.6    14.2       0    39.8   333.0
   1959   8   21.8    14.8       0    25.7   246.4
   1959   9   20.8    12.8       0     6.6   265.8
   1959  10   16.8    10.7       0   106.8   171.7
   1959  11   11.7     6.2       0   151.5    72.0
   1959  12   10.0     5.1       1   196.7    32.2
   1960   1    7.4     2.6       6    82.0    54.1
   1960   2    7.8     2.7       6    52.6   103.0
   1960   3    9.0     5.0       1    80.5   100.5
   1960   4   12.7     5.9       0    35.7   185.9
   1960   5   16.2     9.7       0    70.4   204.4
   1960   6   18.9    12.4       0    59.1   257.3
   1960   7   18.4    13.4       0    60.2   195.3
   1960   8   19.4    13.4       0   148.8   225.7
   1960   9   17.6    11.9       0    66.5   158.0
   1960  10   14.3     9.9       0   179.5   122.1
   1960  11   11.8     7.1       0   218.8    76.9
   1960  12    7.6     3.5       1   125.3    46.9
   1961   1    7.3     3.1       3   147.5    65.0
   1961   2    9.4     5.6       0    66.7    85.9
   1961   3   11.4     4.4       0     6.3   190.8
   1961   4   13.1     8.6       0    60.8   134.3
   1961   5   15.4     8.6       0    32.0   282.3
   1961   6   18.4    11.6       0    32.7   299.1
   1961   7   19.5    12.9       0    69.1   248.1
   1961   8   19.8    14.0       0    17.2   211.9
   1961   9   19.3    13.5       0    64.5   159.4
   1961  10   15.5    10.1       0   111.8   153.4
   1961  11   10.1     6.0       1   100.6    69.3
   1961  12    7.6     2.7      12   104.1    78.8
   1962   1    7.8     3.5       6    89.7    73.9
   1962   2    7.3     2.4       4    18.6    87.2
   1962   3    6.4     1.0      11    50.0   149.2
   1962   4   10.7     5.3       0    48.6   153.3
   1962   5   12.7     7.5       0    41.8   182.3
   1962   6   16.7     9.7       0    12.8   290.1
   1962   7   18.1    12.9       0    53.1   197.6
   1962   8   18.4    13.1       0   105.5   223.9
   1962   9   17.1    11.4       0    64.7   182.3
   1962  10   15.3     9.4       0    51.8   151.8
   1962  11    9.4     5.2       2    69.8    37.1
   1962  12    6.3     1.0      14    97.9   116.5
   1963   1    1.0    -2.8      26    12.5    72.8
   1963   2    2.0    -1.3      18    19.5    94.2
   1963   3    7.9     3.4       3    74.0   135.0
   1963   4   10.8     5.4       0    89.9   152.7
   1963   5   13.8     7.8       0    42.0   239.5
   1963   6   17.4    12.0       0    87.2   221.3
   1963   7   18.6    12.9       0    43.4   287.4
   1963   8   18.1    13.0       0   103.7   185.7
   1963   9   17.1    11.9       0    88.3   124.2
   1963  10   14.4     9.9       0    67.1    80.7
   1963  11   12.3     8.3       0   209.6    69.6
   1963  12    5.7     1.4      11    20.4    58.7
   1964   1    6.0     2.2       6    33.7    37.0
   1964   2    6.8     3.3       3    37.6    73.9
   1964   3    6.7     2.9       3   124.3    74.3
   1964   4   10.7     5.8       1    76.1   169.5
   1964   5   15.9    10.1       0    83.7   232.4
   1964   6   17.3    11.9       0    85.3   223.9
   1964   7   19.8    14.2       0    34.9   244.0
   1964   8   20.2    14.1       0    43.7   224.1
   1964   9   19.0    12.6       0    34.4   233.9
   1964  10   13.5     6.9       0   100.6   152.6
   1964  11   11.2     6.8       2   104.0    65.9
   1964  12    7.5     2.5       7    76.0    42.7
   1965   1    6.7     2.9       3    91.0    77.5
   1965   2    5.8     1.6       4     9.7    59.7
   1965   3    8.6     3.2       6    74.7   145.5
   1965   4   11.6     5.4       0    37.0   160.0
   1965   5   14.5     8.7       0    46.2   213.5
   1965   6   16.9    11.0       0    66.9   213.7
   1965   7   17.7    12.6       0   101.5   156.9
   1965   8   19.0    13.5       0    75.7   220.8
   1965   9   16.8    10.6       0   137.5   168.7
   1965  10   15.3     9.9       0    14.4   165.0
   1965  11    9.6     4.0       4    72.5    90.8
   1965  12    9.3     4.0       4   140.1    63.5
   1966   1    5.7     2.5       9    59.6    35.3
   1966   2    8.9     5.5       0   105.7    35.8
   1966   3   10.2     4.4       0    20.5   149.0
   1966   4   11.3     6.5       0    98.8   121.4
   1966   5   15.1     8.6       0    37.6   231.9
   1966   6   18.9    12.5       0    52.7   260.6
   1966   7   18.9    13.2       0    73.4   203.0
   1966   8   19.3    12.8       0    70.3   244.8
   1966   9   18.5    12.4       0    31.6   205.9
   1966  10   15.0    10.3       0   198.9   100.5
   1966  11    9.6     4.5       1    73.3    56.3
   1966  12    9.5     4.4       1   103.1    41.3
   1967   1    7.3     3.6       5    59.5    78.4
   1967   2    8.8     4.1       2    65.2    93.9
   1967   3   10.8     5.6       0    40.0   184.7
   1967   4   11.8     5.0       0    62.4   195.1
   1967   5   14.7     8.9       0    67.7   221.0
   1967   6   17.6    11.0       0    58.1   266.2
   1967   7   20.6    14.3       0    11.6   308.8
   1967   8   19.6    13.8       0    99.2   232.9
   1967   9   17.8    12.6       0   102.6   149.9
   1967  10   15.1    10.9       0   145.9   124.6
   1967  11   10.0     4.5       0    84.5    89.2
   1967  12    7.4     2.8       7    90.5    65.6
   1968   1    7.0     2.4       9    82.6    55.9
   1968   2    6.0     1.6       6    67.3    92.5
   1968   3    9.5     4.6       1    21.4   162.7
   1968   4   11.5     5.0       2    71.4   204.2
   1968   5   13.5     8.0       0    53.6   219.8
   1968   6   17.4    11.6       0    43.4   214.0
   1968   7   19.0    12.7       0    51.0   206.7
   1968   8   19.5    13.8       0    58.8   149.4
   1968   9   17.9    12.8       0   117.3   174.1
   1968  10   16.0    12.1       0    92.2    85.0
   1968  11    9.9     6.0       1    23.0    54.5
   1968  12    6.2     2.4       9    49.3    44.7
   1969   1    9.0     5.0       2    75.0    45.9
   1969   2    5.3     0.3      15    51.6    93.2
   1969   3    7.8     2.6       5    61.9    80.0
   1969   4   11.8     4.9       0    39.3   228.6
   1969   5   14.3     8.8       0    65.8   232.7
   1969   6   18.3    11.2       0    34.7   292.6
   1969   7   21.3    14.3       0    75.0   265.6
   1969   8   20.2    14.1       0    85.5   209.0
   1969   9   18.9    12.9       0     7.1   163.0
   1969  10   16.8    11.2       0     2.3   150.0
   1969  11   10.7     5.2       4   176.6    86.4
   1969  12    6.8     2.4       9    91.1    26.4
   1970   1    7.5     3.6       7   119.9    51.0
   1970   2    7.3     2.3       8    73.8   130.7
   1970   3    7.8     1.9      10    45.7   140.6
   1970   4    9.7     4.3       3    76.0   138.8
   1970   5   15.8     9.4       0    34.0   242.3
   1970   6   19.5    12.6       0    18.1   309.5
   1970   7   18.4    12.7       0    59.5   232.9
   1970   8   19.9    13.6       0    68.7   222.0
   1970   9   18.4    12.4       0   113.8   195.3
   1970  10   15.1     9.6       0    28.1   128.5
   1970  11   12.1     7.0       1   209.9    68.1
   1970  12    7.3     3.2       7    58.1*   58.0
   1971   1    7.8     3.9       6    89.9    56.7
   1971   2    8.3     3.4       0    25.5    93.5
   1971   3    8.3     3.0       6    57.0   150.4
   1971   4   10.8     5.4       0    34.2   158.8
   1971   5   15.3     8.9       0    59.5   268.9
   1971   6   16.9    10.9       0   181.6   208.5
   1971   7   20.8    13.9       0    38.5   286.4
   1971   8   19.4    14.6       0    69.8   173.3
   1971   9   18.7    11.7       0    15.3   205.8
   1971  10   16.1    10.1       0    47.3   167.7
   1971  11   10.5     4.4       0    48.9   116.2
   1971  12    9.3     5.2       2    22.7    39.0
   1972   1    6.9     3.0       3    66.7    38.2
   1972   2    7.7     4.1       1    52.1    51.5
   1972   3   10.3     4.7       0    45.4   180.5
   1972   4   11.9     6.6       0    65.5   158.1
   1972   5   14.2     8.8       0    35.5   216.2
   1972   6   15.3    10.1       0    63.8   218.0
   1972   7   19.3    13.4       0    25.5   203.2
   1972   8   19.4    13.1       0    21.6   229.3
   1972   9   16.9    10.3       0    31.7   156.8
   1972  10   14.5     9.5       0    23.2   124.9
   1972  11   10.4     5.6       0    83.4    83.6
   1972  12    9.8     5.8       0    78.6    66.0
   1973   1    7.8     3.8       1    48.2    38.2
   1973   2    7.7     2.7       5    42.3    87.1
   1973   3   10.0     3.6       1    19.5   183.0
