Greenwich
Location: 5387E 1776N, 7 metres amsl (1959 to 1996) & 5388E 1773N (1997 onwards), 47 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    5.9    -0.3      18     ---    51.1
   1959   2    7.6     1.6       1     ---    41.2
   1959   3   12.4     4.1       0     ---    78.5
   1959   4   14.8     6.4       0     ---   125.2
   1959   5   18.3     7.8       0     ---   213.9
   1959   6   22.0    10.7       0     ---   215.2
   1959   7   25.4    13.3       0     ---   279.7
   1959   8   24.1    14.1       0     ---   207.8
   1959   9   22.5    11.2       0     ---   196.4
   1959  10   18.3     8.6       0     ---   142.6
   1959  11   11.1     4.0       4     ---    56.5
   1959  12    9.8     3.6       0     ---    29.6
   1960   1    7.0     2.4       7     ---    31.1
   1960   2    8.2     2.2       7     ---    73.9
   1960   3    9.9     4.0       2     ---    64.8
   1960   4   14.1     5.4       0     ---   137.3
   1960   5   18.5     8.9       0     ---   161.8
   1960   6   21.6    12.1       0     ---   240.4
   1960   7   20.2    12.4       0     ---   156.4
   1960   8   20.5    12.0       0     ---   157.9
   1960   9   18.1    10.3       0     ---   128.3
   1960  10   14.3     7.9       0     ---    74.5
   1960  11   11.5     5.2       0     ---    62.0
   1960  12    7.2     2.6       6     ---    35.0
   1961   1    7.2     1.4       7    65.0    38.2
   1961   2   10.7     5.1       0    52.8    58.0
   1961   3   14.2     3.7       2     2.1   150.9
   1961   4   15.2     6.8       0    44.9    84.0
   1961   5   16.5     7.2       0    51.1   196.4
   1961   6   21.5    10.9       0    35.4   213.2
   1961   7   21.8    12.2       0    29.5   168.0
   1961   8   21.2    12.9       0    53.0   153.8
   1961   9   20.8    12.2       0    53.9   115.2
   1961  10   15.5     7.9       0    83.3   115.3
   1961  11    9.8     4.4       1    65.1    54.2
   1961  12    6.9     0.9      15    82.6    50.5
   1962   1    8.3     2.2       8    64.4    54.1
   1962   2    7.7     2.3       4    12.2    57.8
   1962   3    7.3*    0.2*     14*   35.6    95.4
   1962   4   12.5     5.1       1    44.9   125.4
   1962   5   14.9     7.5       0    31.9   147.7
   1962   6   19.6     9.5       0     8.6   246.7
   1962   7   20.1    12.4       0    61.3   127.6
   1962   8   20.2    12.1       0    51.0   172.3
   1962   9   17.7     9.8       0    64.6   138.9
   1962  10   15.5     7.9       0    38.4   100.9
   1962  11    9.2     3.7       5    36.7    26.0
   1962  12    5.2    -0.4      17    49.7    50.0
   1963   1    0.8    -3.8      26    28.3    33.6
   1963   2    1.9    -2.8      26    11.9    55.3
   1963   3   10.7     3.0       6    60.5    98.1
   1963   4   13.3     5.3       2    49.5   121.9
   1963   5   16.0     7.0       0    41.7   183.7
   1963   6   20.4    11.3       0    57.7   176.6
   1963   7   20.8    11.3       0    42.1   200.0
   1963   8   19.6    11.5       0    54.1   137.3
   1963   9   17.9    10.3       0    71.5   110.9
   1963  10   15.1     8.4       0    40.7    71.1
   1963  11   12.5     6.5       1    95.3    46.0
   1963  12    5.9     0.4      13    15.1    17.7
   1964   1    5.9     0.7       8    16.4    26.8
   1964   2    7.5     2.5       5    22.1    54.7
   1964   3    7.3     2.5       5    73.0    63.5
   1964   4   13.0     5.5       1    70.3   127.9
   1964   5   19.5     9.9       0    59.4   216.0
   1964   6   19.3    10.9       0   100.8   172.9
   1964   7   22.5    13.2       0    23.7   191.8
   1964   8   21.9    12.7       0    44.6   211.6
   1964   9   20.7    10.1       0    12.4   194.6
   1964  10   13.5     5.5       0    38.2   103.5
   1964  11   11.3     5.8       2    43.5    29.2
   1964  12    7.1     1.6       8    30.3    22.7
   1965   1    6.8     2.0       7    48.6    36.0
   1965   2    6.3     1.8       2    13.5    21.7
   1965   3   10.5     2.4      11    37.5   125.5
   1965   4   13.1     5.4       0    48.9   117.2
   1965   5   17.1     8.7       0    41.6   169.6
   1965   6   19.7    11.1       0    39.9   162.4
   1965   7   19.4    11.6       0    64.3   111.0
