Hurn
Location 4117E 978N, 10 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1957   1    9.1     2.5       7    73.0     ---
   1957   2    9.6     2.7       8   100.5     ---
   1957   3   12.9     5.5       4    61.3     ---
   1957   4   14.2     4.4       2     5.5     ---
   1957   5   16.1     5.5       1    43.7     ---
   1957   6   22.2     8.8       0    26.4     ---
   1957   7   21.6    12.9       0    77.2     ---
   1957   8   20.6    11.7       0    73.4     ---
   1957   9   17.8     9.6       1    76.6     ---
   1957  10   15.9     6.6       2    59.1     ---
   1957  11    9.7     3.1       5    65.2     ---
   1957  12    8.6     0.5      13    74.1     ---
   1958   1    7.8     0.5      12   113.4     ---
   1958   2    9.8     2.7       9    68.2     ---
   1958   3    8.4     0.5      14    46.4     ---
   1958   4   12.2     2.2       7    20.1     ---
   1958   5   15.8     7.0       0    56.3     ---
   1958   6   18.1     9.9       0   100.2     ---
   1958   7   20.5    11.7       0    41.3     ---
   1958   8   19.7    12.3       0    89.4     ---
   1958   9   19.5    11.2       0   123.8     ---
   1958  10   15.3     8.4       0    89.3     ---
   1958  11   10.3     3.5       4    69.1     ---
   1958  12    9.0     2.4       8   110.5     ---
   1959   1    6.9    -1.0      21    93.7     ---
   1959   2    7.4     0.9      11     7.3     ---
   1959   3   11.5     3.7       5    93.2     ---
   1959   4   13.7     5.7       1    63.5     ---
   1959   5   18.6     6.9       1    16.5     ---
   1959   6   20.8     9.5       0    36.3     ---
   1959   7   23.2    11.0       0    72.7     ---
   1959   8   22.9    11.3       0    56.2     ---
   1959   9   22.7     7.8       0    12.6     ---
   1959  10   17.7     7.4       1    92.8     ---
   1959  11   11.7     3.4       9   110.2     ---
   1959  12   10.2     3.4       5   200.1     ---
   1960   1    7.5     1.7      13    97.3     ---
   1960   2    8.0     1.0      12    74.6     ---
   1960   3   10.2     4.1       1    46.2     ---
   1960   4   14.0     4.5       3    47.0     ---
   1960   5   17.4     7.7       0    53.2     ---
   1960   6   21.0    10.6       0    66.9     ---
   1960   7   19.9    11.3       0   105.6     ---
   1960   8   19.6    11.0       0   118.6     ---
   1960   9   17.7     9.7       0   149.1     ---
   1960  10   14.4     7.4       2   258.9     ---
