Oxford
Location: 4509E 2072N, 63 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1853   1    8.4     2.7       4    62.8     ---
   1853   2    3.2    -1.8      19    29.3     ---
   1853   3    7.7    -0.6      20    25.9     ---
   1853   4   12.6     4.5       0    60.1     ---
   1853   5   16.8     6.1       0    59.5     ---
   1853   6   20.1    10.7       0    82.0     ---
   1853   7   21.2    12.2       0    86.2     ---
   1853   8   20.2    10.8       0    72.3     ---
   1853   9   17.3     8.4       0    51.3     ---
   1853  10   13.9     7.4       0   102.3     ---
   1853  11    8.7     2.3      10    49.6     ---
   1853  12    3.7    -1.3      19    10.7     ---
   1854   1    6.7     1.5      11    54.5     ---
   1854   2    8.0     0.6      12    22.6     ---
   1854   3   11.2     2.2       8    10.6     ---
   1854   4   15.0     3.5       2    19.9     ---
   1854   5   16.2     5.7       1    82.1     ---
   1854   6   18.6     9.7       0    45.2     ---
   1854   7   21.7    11.6       0    37.2     ---
   1854   8   20.9    10.7       0    45.4     ---
   1854   9   20.2     8.4       0    11.4     ---
   1854  10   13.9     5.6       2    57.7     ---
   1854  11    8.2     2.0       5    32.4     ---
   1854  12    8.3     2.1       8    30.7     ---
   1855   1    4.4    -0.4      18     6.9     ---
   1855   2    1.7    -4.5      20    33.7     ---
   1855   3    7.7     0.1      15    56.0     ---
   1855   4   13.0     2.7       9    10.6     ---
   1855   5   15.0     4.9       3    45.1     ---
   1855   6   19.4     9.3       0    60.0     ---
   1855   7   22.8    13.4       0   129.3     ---
   1855   8   21.7    12.2       0    42.6     ---
   1855   9   19.0    10.4       0    59.7     ---
   1855  10   14.0     8.2       0   143.1     ---
   1855  11    7.9     3.4       4    25.2     ---
   1855  12    5.7    -0.1      13    28.1     ---
   1856   1    6.8     2.0      10    74.7     ---
   1856   2    8.2     3.0       8    33.4     ---
   1856   3    7.9     0.6      11    23.9     ---
   1856   4   12.9     4.1       2    64.9     ---
   1856   5   14.0     5.7       2   110.1     ---
   1856   6   20.2     9.5       0    64.8     ---
   1856   7   22.2    11.3       0    15.8     ---
   1856   8   22.7    12.5       0    81.8     ---
   1856   9   16.8     8.5       0    80.3     ---
   1856  10   13.9     6.9       1    60.3     ---
   1856  11    8.1     2.3       8    24.2     ---
   1856  12    7.3     1.4      12    52.0     ---
   1857   1    5.1    -0.6      17    80.7     ---
   1857   2    7.6     0.4      11     8.2     ---
   1857   3    9.1     1.8      10    39.2     ---
   1857   4   11.9     3.7       3    51.3     ---
   1857   5   16.5     6.3       4    30.3     ---
   1857   6   22.0    10.6       0    77.0     ---
   1857   7   22.0    12.7       0    80.5     ---
   1857   8   22.8    13.2       0    93.5     ---
   1857   9   19.0    11.2       0    99.0     ---
   1857  10   14.6     7.8       0   116.3     ---
   1857  11   10.2     4.5       2    42.6     ---
   1857  12    9.6     4.5       3    16.8     ---
   1858   1    6.4    -0.1      20    17.3     ---
   1858   2    4.7    -1.2      18    45.0     ---
   1858   3    9.4     1.1      12    20.4     ---
   1858   4   13.1     4.0       2    90.1     ---
   1858   5   15.9     6.2       0    59.5     ---
   1858   6   23.6    11.9       0    40.4     ---
   1858   7   20.8    10.6       0    58.3     ---
   1858   8   21.4    11.3       0    36.4     ---
   1858   9   19.5    11.2       0    63.4     ---
   1858  10   13.4     6.9       0    50.4     ---
   1858  11    7.4     0.8      12    17.9     ---
   1858  12    7.2     2.4       2    54.5     ---
   1859   1    7.5     1.8       9    20.8     ---
   1859   2    9.4     2.7       5    43.1     ---
   1859   3   11.2     4.7       4    38.2     ---
   1859   4   12.3     3.5       8    63.9     ---
   1859   5   16.6     6.7       0    47.3     ---
   1859   6   20.7    11.1       0    57.4     ---
   1859   7   25.1    13.7       0    71.2     ---
   1859   8   21.8    12.5       0    97.2     ---
   1859   9   17.4     9.4       0    89.8     ---
   1859  10   13.7     6.6       6    76.3     ---
   1859  11    8.5     1.5       8    52.8     ---
   1859  12    5.0    -1.1      14    46.6     ---
   1860   1    6.8     0.8      12    82.8     ---
   1860   2    5.2    -1.6      20    32.6     ---
   1860   3    8.4     1.9       8    48.4     ---
   1860   4   10.6     1.7       5    14.8     ---
   1860   5   17.0     7.7       0    70.9     ---
   1860   6   17.0     9.5       0   129.8     ---
   1860   7   19.3    10.3       0    60.8     ---
   1860   8   17.9    10.9       0    96.7     ---
   1860   9   15.6     7.0       0    64.0     ---
   1860  10   13.4     7.3       1    39.9     ---
   1860  11    7.4     2.1       2    82.1     ---
   1860  12    4.4     ---     ---    66.6     ---
   1861   1    3.8    -0.7      16    16.8     ---
   1861   2    7.9     3.1       4    48.0     ---
   1861   3   10.1     3.4       1    43.1     ---
   1861   4   11.8     3.0       5    17.7     ---
   1861   5   16.1     6.5       1    34.9     ---
   1861   6   20.0    11.2       0    79.9     ---
   1861   7   19.7    12.0       0   130.8     ---
   1861   8   21.6    12.7       0    15.1     ---
   1861   9   17.9     9.9       0    49.6     ---
   1861  10   16.2     9.5       0    40.8     ---
   1861  11    8.4     1.6      10    78.4     ---
   1861  12    7.0     1.5      12    41.9     ---
   1862   1    6.6     2.2       8    62.2     ---
   1862   2    7.3     3.4       4     7.3     ---
   1862   3    9.4     3.9       4   138.9     ---
   1862   4   12.9     6.2       4    57.6     ---
   1862   5   17.6     9.2       0    95.5     ---
   1862   6   18.1     9.6       0    56.8     ---
   1862   7   19.9    10.6       0    44.8     ---
   1862   8   20.0    10.5       0    44.7     ---
   1862   9   18.2     9.9       0    55.1     ---
   1862  10   14.5     7.6       1    73.1     ---
   1862  11    6.7     0.4      14    25.3     ---
   1862  12    9.2     3.8       0    36.0     ---
   1863   1    7.7     2.5       2    82.1     ---
   1863   2    9.1     2.7       7    17.1     ---
   1863   3   10.8     1.9       9    17.3     ---
   1863   4   14.2     4.7       2    35.5     ---
   1863   5   16.4     6.0       0    23.2     ---
   1863   6   19.3     9.6       0    86.6     ---
   1863   7   21.8     9.5       0    17.0     ---
   1863   8   21.2    11.9       0    67.1     ---
   1863   9   15.8     7.6       0    70.3     ---
   1863  10   14.1     7.0       2    75.5     ---
   1863  11   10.3     4.6       6    51.1     ---
   1863  12    9.1     3.3       6    27.7     ---
   1864   1    4.8    -0.2      13    25.0     ---
   1864   2    5.5     0.0      16    36.9     ---
   1864   3    9.6     1.4       8    62.7     ---
   1864   4   14.2     4.3       0    41.4     ---
   1864   5   18.2     7.9       0    54.8     ---
   1864   6   19.8     9.8       0    25.6     ---
   1864   7   22.8    10.3       0    12.0     ---
   1864   8   21.0     8.8       0    19.8     ---
   1864   9   18.3     9.4       0    74.9     ---
   1864  10   13.6     6.8       0    39.8     ---
   1864  11    8.9     2.0       8    59.4     ---
   1864  12    5.6     1.3      13     9.5     ---
   1865   1    4.7    -0.9      14    78.1     ---
   1865   2    5.0     0.2      13    52.9     ---
   1865   3    6.0    -0.2      13    24.9     ---
   1865   4   17.2     5.4       3    23.3     ---
   1865   5   18.4     8.1       0    55.8     ---
   1865   6   21.9    10.8       0    89.1     ---
   1865   7   22.3    12.5       0    71.1     ---
   1865   8   20.0    10.8       0    79.0     ---
   1865   9   22.3    10.9       0     4.7     ---
   1865  10   14.6     6.1       0   137.7     ---
   1865  11   10.3     4.0       6    65.7     ---
   1865  12    8.4     3.4       4    49.8     ---
   1866   1    8.6     3.4       5    73.1     ---
   1866   2    7.9     1.3      11    73.2     ---
   1866   3    8.4     1.8       9    42.7     ---
   1866   4   13.6     4.7       3    52.2     ---
   1866   5   15.7     4.8       2    42.6     ---
   1866   6   21.9    11.1       0    81.7     ---
   1866   7   21.7    11.2       0    50.4     ---
   1866   8   19.8    11.3       0    75.1     ---
   1866   9   17.0    10.3       0   145.4     ---
   1866  10   14.2     8.0       0    53.4     ---
   1866  11   10.7     3.7       7    38.8     ---
   1866  12    9.2     3.3       7    51.6     ---
   1867   1    4.6    -1.1      18    65.8     ---
   1867   2   10.1     4.4       1    39.3     ---
   1867   3    6.0     0.5      16    73.4     ---
   1867   4   14.0     6.6       0    66.1     ---
   1867   5   16.8     6.8       3    63.9     ---
   1867   6   20.0     9.6       0    49.1     ---
   1867   7   20.3    10.5       0    99.7     ---
   1867   8   21.5    11.8       0    60.8     ---
   1867   9   18.4     9.6       0    41.6     ---
   1867  10   13.5     6.3       1    72.5     ---
   1867  11    8.4     1.6      10    24.4     ---
   1867  12    6.2     0.1      18    35.7     ---
   1868   1    5.9     1.7      11    87.2     ---
   1868   2    9.8     3.3       5    42.3     ---
   1868   3   11.1     2.9       6    38.7     ---
   1868   4   14.1     4.6       5    39.7     ---
   1868   5   20.4     7.8       0    14.9     ---
   1868   6   23.6     9.4       0    23.6     ---
   1868   7   25.8    12.7       0    47.5     ---
   1868   8   22.1    12.5       0    85.8     ---
   1868   9   19.7     9.4       0   101.3     ---
   1868  10   12.7     5.0       3    57.0     ---
   1868  11    7.9     2.6       7    30.7     ---
   1868  12   10.4     5.2       2   105.3     ---
   1869   1    8.2     3.0       5    96.3     ---
   1869   2   10.5     5.1       1    55.2     ---
   1869   3    7.1     1.1      10    33.1     ---
   1869   4   16.0     6.0       0    29.8     ---
   1869   5   15.5     6.5       0    75.9     ---
   1869   6   18.9     8.8       0    36.2     ---
   1869   7   24.1    12.4       0    27.0     ---
   1869   8   21.5    10.7       0    33.6     ---
   1869   9   19.0    11.3       0   112.1     ---
   1869  10   13.9     6.1       4    28.1     ---
   1869  11   10.0     3.2       8    61.3     ---
   1869  12    5.6     1.0       9    87.5     ---
   1870   1    5.9     1.3      10    30.2     ---
   1870   2    5.1     0.8      13    48.7     ---
   1870   3    8.3     1.5      13    42.6     ---
   1870   4   15.6     3.7       4    13.5     ---
   1870   5   18.0     6.3       2    26.3     ---
   1870   6   22.3    11.2       0    17.3     ---
   1870   7   24.9    13.0       0    22.6     ---
   1870   8   21.4    10.6       0    59.8     ---
   1870   9   18.3     8.2       0    33.8     ---
   1870  10   14.1     6.7       0    74.6     ---
   1870  11    8.3     2.1      10    29.6     ---
   1870  12    3.2    -2.3      19    50.9     ---
   1871   1    2.7    -1.2      20    28.2     ---
   1871   2    9.0     3.8       4    25.1     ---
   1871   3   11.9     3.2       4    24.3     ---
   1871   4   13.8     5.3       4    67.1     ---
   1871   5   17.0     5.8       0    11.0     ---
   1871   6   17.5     9.0       0    81.3     ---
   1871   7   21.1    11.9       0    96.3     ---
   1871   8   23.8    12.0       0    13.0     ---
   1871   9   17.9     9.6       0   118.8     ---
   1871  10   14.1     6.0       2    30.4     ---
   1871  11    6.4     0.2      14    18.4     ---
   1871  12    6.0     0.9      12    27.4     ---
   1872   1    7.9     2.6       5   103.7     ---
   1872   2   10.1     4.7       0    38.6     ---
   1872   3   11.2     3.6       8    49.1     ---
   1872   4   13.9     4.5       2    48.0     ---
   1872   5   15.2     5.9       1    65.2     ---
   1872   6   20.4    10.2       0    74.1     ---
   1872   7   23.7    12.9       0    75.9     ---
   1872   8   21.0    11.3       0    30.1     ---
   1872   9   18.3    10.0       0    25.5     ---
   1872  10   12.6     5.2       1    74.4     ---
   1872  11   10.1     4.6       1    80.8     ---
   1872  12    7.9     3.5       6    96.9     ---
   1873   1    7.8     3.2       9    56.3     ---
   1873   2    4.2    -0.1      13    40.9     ---
   1873   3    9.7     2.2       3    60.1     ---
   1873   4   12.8     3.9       3    12.2     ---
   1873   5   16.1     5.4       1    59.3     ---
   1873   6   20.0    10.3       0    70.7     ---
   1873   7   22.6    11.8       0    57.3     ---
   1873   8   21.6    12.6       0    66.8     ---
   1873   9   16.9     7.8       0    45.9     ---
   1873  10   12.9     4.7       6    68.6     ---
   1873  11    9.6     3.8       4    43.7     ---
   1873  12    7.3     2.1      10    12.3     ---
   1874   1    8.6     3.0       6    58.8     ---
   1874   2    7.1     1.0      12    43.2     ---
   1874   3   11.0     3.1       8    15.8     ---
   1874   4   15.7     5.4       1    32.5     ---
   1874   5   15.7     6.0       1    39.7     ---
   1874   6   20.4     9.0       0    17.6     ---
   1874   7   25.3    11.8       0    12.8     ---
   1874   8   21.2    11.2       0    45.9     ---
   1874   9   18.6    10.4       0    85.7     ---
   1874  10   14.7     7.8       0    80.0     ---
   1874  11    8.7     2.5       9    64.6     ---
   1874  12    3.5    -2.3      22    46.8     ---
   1875   1    9.3     4.9       2    90.4     ---
   1875   2    4.5    -0.4      20    37.3     ---
   1875   3    8.6     2.4       9    28.5     ---
   1875   4   13.4     3.5       3    37.6     ---
   1875   5   18.3     7.8       0    45.1     ---
   1875   6   20.6    10.5       0    75.8     ---
   1875   7   19.9    11.1       0   119.2     ---
   1875   8   21.9    12.8       0    45.9     ---
   1875   9   20.1    11.4       0    51.9     ---
   1875  10   12.6     6.4       0   192.9     ---
   1875  11    8.4     3.6       5    97.2     ---
   1875  12    6.2     2.4       9    22.5     ---
   1876   1    5.5     0.6      14    43.9     ---
   1876   2    8.1     3.0       5    72.8     ---
   1876   3    8.6     1.9       8    87.4     ---
   1876   4   13.0     4.8       2    73.3     ---
   1876   5   15.4     4.7       1    20.4     ---
   1876   6   20.8    10.0       0    52.8     ---
   1876   7   24.5    13.1       0    21.8     ---
   1876   8   23.8    11.9       0    68.3     ---
   1876   9   17.4     9.8       0   148.6     ---
   1876  10   14.8     8.8       0    25.9     ---
   1876  11    9.7     4.1       5    83.2     ---
   1876  12    8.8     4.9       4   130.2     ---
   1877   1    9.3     3.2       3   118.5     ---
   1877   2    9.4     4.0       3    39.9     ---
   1877   3    9.0     2.2       9    50.5     ---
   1877   4   12.1     4.3       0    55.0     ---
   1877   5   14.5     5.5       4    58.4     ---
   1877   6   22.2    10.5       0    25.5     ---
   1877   7   21.1    11.1       0    85.4     ---
   1877   8   20.5    11.9       0    87.3     ---
   1877   9   15.9     7.6       0    63.5     ---
   1877  10   13.7     5.2       2    43.1     ---
   1877  11   10.8     4.3       0    98.2     ---
   1877  12    7.8     2.3       7    44.6     ---
   1878   1    7.5     2.6       8    44.3     ---
   1878   2    8.8     4.2       4    34.2     ---
   1878   3    9.5     2.2       9    19.5     ---
   1878   4   14.1     5.5       3    58.4     ---
   1878   5   17.7     8.4       0   126.7     ---
   1878   6   21.1    11.1       0    49.0     ---
   1878   7   22.2    12.6       0    29.1     ---
   1878   8   21.7    13.1       0   130.7     ---
   1878   9   18.1     9.4       0    34.4     ---
   1878  10   14.1     7.4       0    54.1     ---
   1878  11    6.6     2.6       5    58.1     ---
   1878  12    3.1    -2.0      20    38.6     ---
   1879   1    1.6    -2.8      27    76.5     ---
   1879   2    6.0     1.1       9    84.6     ---
   1879   3    8.6     1.1      10    22.3     ---
   1879   4    9.5     2.4       7    62.1     ---
   1879   5   12.9     5.2       3    57.6     ---
   1879   6   17.0    10.2       0   110.7     ---
   1879   7   17.5    11.4       0    86.8     ---
   1879   8   18.7    11.8       0   128.7     ---
   1879   9   16.6     9.5       0    73.6     ---
   1879  10   12.2     6.0       0    18.6     ---
   1879  11    6.7     0.9      13    17.4     ---
   1879  12    3.7    -3.2      24    18.7     ---
   1880   1    3.0    -2.5      22    11.1     ---
   1880   2    9.0     2.4       5    60.9     ---
   1880   3   11.7     2.5       7    35.3     ---
   1880   4   12.2     4.7       1    48.7     ---
   1880   5   15.9     6.4       0    21.1     ---
   1880   6   17.9    10.0       0    87.6     ---
   1880   7   19.7    12.2       0   155.1     ---
   1880   8   20.5    13.2       0    12.7     ---
   1880   9   19.8    11.5       0    88.6     ---
   1880  10   12.2     4.9       3   133.5     ---
   1880  11    9.8     3.1       9    47.8     ---
   1880  12    9.3     3.6       5    75.7     ---
   1881   1    1.8    -4.0      20    31.9     ---
   1881   2    6.3     1.5      10    70.2     ---
   1881   3   10.3     2.1      11    37.7     ---
   1881   4   12.9     3.1       7    19.9     ---
   1881   5   17.7     6.9       1    31.9     ---
   1881   6   19.2    10.3       0    48.0     ---
   1881   7   22.7    12.5       0    63.7     ---
   1881   8   19.2    10.8       0   118.2     ---
   1881   9   17.6     9.5       0    35.5     ---
   1881  10   11.9     4.2       5    42.8     ---
   1881  11   12.5     6.9       0    82.0     ---
   1881  12    7.1     2.1       7    75.5     ---
   1882   1    7.7     2.8       6    28.4     ---
   1882   2    9.2     3.5       3    38.8     ---
   1882   3   12.6     4.0       3    28.2     ---
   1882   4   13.7     5.1       1    99.7     ---
   1882   5   17.4     7.3       0    47.0     ---
   1882   6   17.5     9.7       0    83.8     ---
   1882   7   20.0    11.9       0    82.2     ---
   1882   8   19.9    11.5       0    33.8     ---
   1882   9   17.3     8.3       0    51.4     ---
