Paisley
Location 2478E 6642N, 32 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    4.0    -2.0      25    40.9    54.1
   1959   2    6.6     2.1      10    41.8    17.8
   1959   3   10.6     4.2       0    50.9    85.7
   1959   4   13.0     5.2       0    76.3   125.1
   1959   5   18.1     7.9       0    24.0   222.0
   1959   6   18.1    10.3       0    81.6   187.3
   1959   7   19.6    12.3       0   113.7   157.3
   1959   8   20.3    12.6       0    14.7   165.2
   1959   9   18.3     9.7       0    26.5   137.5
   1959  10   15.2     8.7       0   140.7   105.5
   1959  11    9.3     4.9       2   129.7    37.4
   1959  12    7.4     2.9       3   199.8    13.5
   1960   1    6.1     0.8      11   101.1    43.5
   1960   2    5.8     0.0      16   107.2    84.4
   1960   3    8.9     3.5       1    57.0    77.8
   1960   4   14.0     6.0       0   107.7   154.1
   1960   5   17.8     8.2       0    66.6   189.5
   1960   6   21.0    11.3       0    63.9   244.2
   1960   7   18.8    11.5       0    90.5   148.8
   1960   8   19.4    11.0       0    86.5   180.2
   1960   9   16.7     8.7       0    79.0   152.1
   1960  10   12.6     7.7       0    78.7    54.9
   1960  11    8.9     3.5       3   145.6    62.6
   1960  12    5.6     0.8      12   142.7    29.1
   1961   1    5.9     0.3      12   100.1    35.5
   1961   2    9.0     4.4       1   127.6    52.6
   1961   3   11.6     5.7       0    60.8    95.4
   1961   4   12.4     5.8       2    95.7    96.5
   1961   5   15.9     7.3       0    52.3   185.3
   1961   6   17.3     9.7       0    37.0   153.5
   1961   7   18.1    10.4       0    69.3   150.3
   1961   8   18.4    11.2       0   146.2   160.4
   1961   9   17.4    10.7       0   155.2   108.4
   1961  10   13.5     7.5       0   149.9   103.3
   1961  11    8.1     2.9       7   113.8    48.6
   1961  12    4.2    -0.5      17   121.5    19.1
   1962   1    6.7     1.6       6   220.1    37.4
   1962   2    7.2     2.4       2   103.6    64.2
   1962   3    7.5     0.0      14    38.4   104.7
   1962   4   12.8     3.2       4    72.4   197.1
   1962   5   15.8     7.0       2    62.4   198.8
   1962   6   18.3     8.5       0    53.2   192.8
   1962   7   17.9     9.9       0    76.7   137.8
   1962   8   17.2    10.1       0   136.5   142.0
   1962   9   14.8     9.1       0   181.8    74.1
   1962  10   13.3     8.2       0    60.5    83.3
   1962  11    7.8     3.2       7    68.3    27.0
   1962  12    5.9     0.5      12   114.0    34.4
   1963   1    2.5    -2.7      22    18.1    46.9
   1963   2    3.9    -2.9      22    13.2    70.5
   1963   3    9.8     2.8       6   153.0    85.7
   1963   4   11.6     4.8       1    61.5   110.6
   1963   5   14.0     6.4       0    95.7   193.5
   1963   6   18.5    10.8       0    62.0   172.9
   1963   7   18.0    10.7       0    80.2   151.2
   1963   8   17.1    10.7       0    86.5    88.1
   1963   9   15.8     9.2       0    90.0   128.4
   1963  10   13.2     7.5       0   127.1    76.8
   1963  11    8.5     3.7       6   191.6    34.9
   1963  12    5.8     1.3      12    50.9    25.8
   1964   1    6.8     2.5       7    61.9    21.8
   1964   2    7.2     2.3       5    30.4    59.7
   1964   3    7.4     2.2       3    55.4    57.7
   1964   4   12.1     5.4       0    77.3   101.3
   1964   5   16.0     8.7       0    85.8   167.7
   1964   6   17.5     9.6       0    68.0   163.5
   1964   7   17.9    11.5       0    58.0   126.7
   1964   8   17.6    10.9       0   146.3   121.9
   1964   9   16.4     9.4       0   131.5   132.9
   1964  10   11.8     5.7       0    67.4    74.0
   1964  11    8.8     3.8       3    95.6    31.3
   1964  12    6.0     1.2       7   154.3    34.8
   1965   1    5.1     0.6      13   127.2    54.2
   1965   2    6.7     0.4      11    24.0    61.7
   1965   3    8.0     1.2       9    68.5    99.5
   1965   4   12.0     4.3       1    74.8   145.9
   1965   5   14.8     7.6       0    86.3   134.5
   1965   6   17.9    10.4       0   102.6   160.2
   1965   7   16.8     9.6       0    98.2   147.3
   1965   8   17.5    10.0       0   107.7   136.6
   1965   9   15.0     9.2       0   144.2    70.5
   1965  10   12.2     7.1       0   126.2    53.3
   1965  11    6.2     1.4      13    55.0    68.5
   1965  12    5.7     1.3       7   138.9    47.1
   1966   1    4.7     1.1      12    71.9    22.8
   1966   2    5.7     1.6       8   131.2    24.5
   1966   3    9.9     4.2       1    92.9   128.6
   1966   4    8.3     3.1       5    79.6   105.1
   1966   5   15.0     6.7       0    87.9   208.2
   1966   6   17.4    11.2       0   111.7    82.0
   1966   7   18.5    10.9       0    33.6   195.3
   1966   8   17.6    10.1       0   104.8   144.7
   1966   9   16.0    10.7       0   115.7    94.7
   1966  10   12.0     5.6       1    82.6    81.7
   1966  11    7.5     2.3       6    99.9    58.9
   1966  12    6.2     2.1       6   174.5    32.1
   1967   1    6.3     2.6      10    90.9    51.4
   1967   2    7.5     3.1       4   132.3    64.7
   1967   3    9.1     3.7       1   138.6   108.1
   1967   4   11.9     4.3       1    47.4   156.0
   1967   5   13.2     6.3       0   121.2   129.7
   1967   6   18.4     9.7       0    38.3   219.0
   1967   7   17.5    11.2       0    77.6   124.5
   1967   8   18.4    11.3       0    69.1   147.8
   1967   9   16.5     9.8       0   108.7   101.1
   1967  10   11.9     6.7       0   256.9   111.8
   1967  11    8.3     3.3       0    82.0    46.7
   1967  12    7.1     2.6      11    59.0    64.6
   1968   1    6.5     2.2      10    89.3    38.8
   1968   2    4.2    -0.8      16    69.3    56.6
   1968   3    9.3     3.0       1   126.4   103.9
   1968   4   12.3     4.1       4    53.7   157.1
   1968   5   13.3     5.5       0   123.8   137.0
   1968   6   19.3    10.1       0    27.6   202.2
   1968   7   18.2    11.0       0    82.4    98.7
   1968   8   19.1    11.2       0    69.6   156.4
   1968   9   16.0     9.6       0   140.4    87.4
   1968  10   13.5     8.9       0   161.9    64.0
   1968  11    7.9     3.1       7    92.8    33.3
   1968  12    5.8     1.0      13    46.4    22.1
   1969   1    6.8     2.8       4   103.0    25.0
   1969   2    4.1    -1.1      15    41.5    55.8
   1969   3    6.0     0.0      14    20.0    68.7
   1969   4   11.8     3.1       2    39.5   150.7
   1969   5   14.2     6.6       0   112.3   121.3
   1969   6   18.6     9.6       0    70.9   199.7
   1969   7   19.5    11.8       0    54.1   161.2
   1969   8   20.1    12.3       0    57.6   169.6
   1969   9   16.2    10.0       0    72.9   108.8
   1969  10   14.9     9.7       0    61.8    71.2
   1969  11    6.6     0.9      13   146.0    44.3
   1969  12    5.7     1.0      11   102.5    26.4
   1970   1    5.5     0.9       9   100.1    23.6
   1970   2    5.7    -0.9      15   114.2   109.4
   1970   3    8.5     1.2       9    48.4   135.1
   1970   4   10.8     2.7       5    83.9   123.9
   1970   5   15.5     8.2       0    37.8   110.9
   1970   6   20.1    11.1       0    56.3   188.2
   1970   7   17.1    10.2       0    69.3   108.5
   1970   8   19.6    11.7       0    89.7   142.7
   1970   9   15.8     9.8       0   129.2    80.0
   1970  10   12.3     6.9       0   151.5    76.7
   1970  11    8.6     4.0       1   166.3    37.6
   1970  12    7.0     2.6       6    65.5    39.1
   1971   1    6.6     2.6       8   100.1    22.7
   1971   2    7.7     3.3       4   105.8    44.3
   1971   3    9.3     2.5       6    39.9    78.2
   1971   4   12.4     4.2       0    38.0   132.7
   1971   5   15.4     7.4       0    48.9   198.1
   1971   6   16.1     8.7       0    31.1   164.1
   1971   7   19.8    11.6       0    94.1   194.8
   1971   8   17.9    11.6       0    98.5    97.8
   1971   9   17.8    10.2       0    24.7   125.5
   1971  10   14.0     7.7       2   137.3    84.5
   1971  11    9.1     3.7       6    78.6    48.2
   1971  12    9.6     5.6       1    90.5    14.5
   1972   1    6.1     2.3       5   105.9    25.2
   1972   2    6.8     2.1       3    56.1    35.3
   1972   3    9.2     2.7       1    47.5    80.3
   1972   4   12.9     5.2       0   122.1   138.2
   1972   5   14.6     7.4       0   122.2   113.1
   1972   6   15.5     8.1       0   103.1   170.8
