Ringway
Location: 3814E 3844N, 69 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1946   1    ---     ---     ---     ---    33.2
   1946   2    ---     ---     ---     ---    58.2
   1946   3    ---     ---     ---     ---   109.8
   1946   4    ---     ---     ---     ---   136.3
   1946   5    ---     ---     ---     ---   216.1
   1946   6    ---     ---     ---     ---   142.8
   1946   7    ---     ---     ---     ---   162.7
   1946   8    ---     ---     ---     ---   126.0
   1946   9    ---     ---     ---     ---    89.8
   1946  10    ---     ---     ---     ---    78.3
   1946  11    ---     ---     ---     ---    24.1
   1946  12    ---     ---     ---     ---    27.8
   1947   1    ---     ---     ---     ---    44.3
   1947   2    ---     ---     ---     ---    35.7
   1947   3    ---     ---     ---     ---    64.0
   1947   4    ---     ---     ---     ---   133.6
   1947   5    ---     ---     ---     ---   182.8
   1947   6    ---     ---     ---     ---   168.7
   1947   7    ---     ---     ---     ---   131.3
   1947   8    ---     ---     ---     ---   258.8
   1947   9    ---     ---     ---     ---   113.2
   1947  10    ---     ---     ---     ---   101.3
   1947  11    ---     ---     ---     ---    65.0
   1947  12    ---     ---     ---     ---    16.4
   1948   1    ---     ---     ---     ---    36.4
   1948   2    ---     ---     ---     ---    55.5
   1948   3    ---     ---     ---     ---   168.9
   1948   4    ---     ---     ---     ---   163.5
   1948   5    ---     ---     ---     ---   245.3
   1948   6    ---     ---     ---     ---   160.8
   1948   7    ---     ---     ---     ---   169.6
   1948   8    ---     ---     ---     ---    88.8
   1948   9    ---     ---     ---     ---    68.8
   1948  10    ---     ---     ---     ---    85.4
   1948  11    ---     ---     ---     ---    53.5
   1948  12    ---     ---     ---     ---    52.9
   1949   1    7.9     2.0       6     ---    41.5
   1949   2    9.1     2.1       7     ---    97.2
   1949   3    8.7     0.3      13     ---   115.3
   1949   4   13.5     4.9       0     ---   146.1
   1949   5   15.9     5.7       0     ---   230.6
   1949   6   20.6     8.8       0     ---   242.1
   1949   7   22.1    11.5       0     ---   184.0
   1949   8   21.4    11.5       0     ---   189.6
   1949   9   20.6    11.3       0     ---   165.3
   1949  10   14.8     7.9       2     ---    80.0
   1949  11    8.9     3.4       2     ---    35.3
   1949  12    8.3     2.4       4     ---    31.7
   1950   1    6.9     1.4      14     ---    30.5
   1950   2    8.4     1.6       6     ---    46.5
   1950   3   11.4     3.0       5     ---   114.5
   1950   4   11.0     3.1       3     ---   130.4
   1950   5   15.8     6.1       0     ---   166.9
   1950   6   20.7    10.4       0     ---   213.6
   1950   7   19.9    11.3       0     ---   172.5
   1950   8   19.6    11.1       0     ---   142.4
   1950   9   16.3     9.0       0     ---    92.7
   1950  10   12.6     5.9       3     ---    89.7
   1950  11    8.1     2.0       6     ---    38.4
   1950  12    3.2    -2.6      23     ---    27.1
   1951   1    5.7     0.7       8     ---    29.5
   1951   2    6.4     0.1      12     ---    42.5
