Shawbury
Location: 3552E 33221N, 72 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1946   1    ---     ---     ---    58.3    37.8
   1946   2    ---     ---     ---    74.2    71.4
   1946   3    ---     ---     ---    19.8   125.0
   1946   4    ---     ---     ---    22.3   178.3
   1946   5    ---     ---     ---    49.6   184.2
   1946   6    ---     ---     ---    55.4   173.0
   1946   7    ---     ---     ---    66.4   186.5
   1946   8    ---     ---     ---   114.0   142.1
   1946   9    ---     ---     ---    80.5    99.5
   1946  10    ---     ---     ---    16.8    63.6
   1946  11    ---     ---     ---   113.5    28.4
   1946  12    ---     ---     ---    60.7    51.0
   1947   1    ---     ---     ---    41.7    46.4
   1947   2    ---     ---     ---    32.0    21.7
   1947   3    ---     ---     ---   130.5    66.5
   1947   4    ---     ---     ---    49.4   150.6
   1947   5    ---     ---     ---    58.0   160.7
   1947   6    ---     ---     ---    33.6   176.0
   1947   7    ---     ---     ---    76.4   161.2
   1947   8    ---     ---     ---    14.5   249.0
   1947   9    ---     ---     ---    38.8   124.8
   1947  10    ---     ---     ---    12.7   102.0
   1947  11    ---     ---     ---    46.2    74.3
   1947  12    ---     ---     ---    44.1    30.7
   1948   1    ---     ---     ---   128.6    46.3
   1948   2    ---     ---     ---    28.1    69.3
   1948   3    ---     ---     ---    23.9   159.8
   1948   4    ---     ---     ---    28.9   173.7
   1948   5    ---     ---     ---    40.4   256.9
   1948   6    ---     ---     ---    86.2   158.2
   1948   7    ---     ---     ---    46.2   158.3
   1948   8    ---     ---     ---    63.5   107.1
   1948   9    ---     ---     ---    50.7   107.8
   1948  10    ---     ---     ---    45.3    79.4
   1948  11    ---     ---     ---    49.9    61.0
   1948  12    ---     ---     ---    88.1    57.8
   1949   1    ---     ---     ---    39.8    49.4
   1949   2    ---     ---     ---    16.9   102.9
   1949   3    ---     ---     ---    51.2   120.8
   1949   4    ---     ---     ---    63.9   162.5
   1949   5    ---     ---     ---    42.6   232.6
   1949   6    ---     ---     ---    19.1   246.9
   1949   7    ---     ---     ---    62.3   208.8
   1949   8    ---     ---     ---    31.7   186.9
   1949   9    ---     ---     ---    18.5   134.4
   1949  10    ---     ---     ---    80.8    93.2
   1949  11    ---     ---     ---    73.2    63.7
   1949  12    ---     ---     ---    44.2    53.0
   1950   1    ---     ---     ---    10.9    32.7
   1950   2    ---     ---     ---   113.3    57.7
   1950   3    ---     ---     ---    30.0   114.6
   1950   4    ---     ---     ---    68.5   142.2
   1950   5    ---     ---     ---    22.9   174.7
   1950   6    ---     ---     ---    25.3   234.3
   1950   7    ---     ---     ---    58.1   162.1
   1950   8    ---     ---     ---   126.5   155.0
   1950   9    ---     ---     ---    94.2   104.9
   1950  10    ---     ---     ---    30.0   106.8
   1950  11    ---     ---     ---    92.4    49.3
   1950  12    ---     ---     ---    60.2    34.6
   1951   1    ---     ---     ---    42.5    37.1
   1951   2    ---     ---     ---    46.4    73.6
   1951   3    ---     ---     ---   103.7    81.9
   1951   4    ---     ---     ---    45.7   191.4
   1951   5    ---     ---     ---    73.0   141.7
   1951   6    ---     ---     ---    26.9   210.1
   1951   7    ---     ---     ---    48.3   183.9
   1951   8    ---     ---     ---    88.7   139.7
   1951   9    ---     ---     ---    49.3    92.2
   1951  10    ---     ---     ---    27.4    96.1
   1951  11    ---     ---     ---   128.6    55.7
   1951  12    ---     ---     ---    59.9    50.1
   1952   1    ---     ---     ---    60.4    81.0
   1952   2    ---     ---     ---     8.8    79.7
   1952   3    ---     ---     ---    33.6    83.5
   1952   4    ---     ---     ---    48.3   144.3
   1952   5    ---     ---     ---    53.6   190.6
   1952   6    ---     ---     ---    42.8   184.9
   1952   7    ---     ---     ---    23.3   150.1
   1952   8    ---     ---     ---    63.1   158.4
   1952   9    ---     ---     ---    35.3    98.4
   1952  10    ---     ---     ---   106.9   115.8
   1952  11    ---     ---     ---    56.9    63.8
   1952  12    ---     ---     ---    66.4    45.5
   1953   1    ---     ---     ---    19.1    52.7
   1953   2    ---     ---     ---    35.3    46.4
   1953   3    ---     ---     ---    24.8   118.8
   1953   4    ---     ---     ---    66.6   169.3
   1953   5    ---     ---     ---    52.2   216.2
   1953   6    ---     ---     ---    60.8   172.9
   1953   7    ---     ---     ---    70.2   179.7
   1953   8    ---     ---     ---    50.3   183.9
   1953   9    ---     ---     ---    55.1   133.8
   1953  10    ---     ---     ---    49.5    75.6
   1953  11    ---     ---     ---    49.6    48.4
   1953  12    ---     ---     ---    23.7    29.7
   1954   1    ---     ---     ---    57.5    43.7
   1954   2    ---     ---     ---    62.4    64.2
   1954   3    ---     ---     ---    45.1    97.0
   1954   4    ---     ---     ---     8.8   187.8
   1954   5    ---     ---     ---    57.6   127.0
   1954   6    ---     ---     ---    56.2   121.1
   1954   7    ---     ---     ---    64.0   119.7
   1954   8    ---     ---     ---    96.2   119.3
   1954   9    ---     ---     ---    52.8   161.0
   1954  10    ---     ---     ---   121.0    74.4
   1954  11    ---     ---     ---   109.6    45.5
   1954  12    ---     ---     ---    54.7    43.6
   1955   1    ---     ---     ---    61.1    38.9
   1955   2    ---     ---     ---    31.2    82.2
   1955   3    ---     ---     ---    65.8   150.5
   1955   4    ---     ---     ---    31.5   148.7
   1955   5    ---     ---     ---    90.3   183.6
   1955   6    ---     ---     ---    70.7   127.2
   1955   7    ---     ---     ---    14.8   289.9
   1955   8    ---     ---     ---    35.1   194.7
   1955   9    ---     ---     ---    53.1   152.4
   1955  10    ---     ---     ---    27.0   125.5
   1955  11    ---     ---     ---    36.4    49.7
   1955  12    ---     ---     ---    56.5    45.6
   1956   1    ---     ---     ---    74.1    62.5
   1956   2    ---     ---     ---     8.9    74.7
   1956   3    ---     ---     ---    20.2   120.9
   1956   4    ---     ---     ---    42.5   156.0
   1956   5    ---     ---     ---     8.4   230.3
   1956   6    ---     ---     ---    42.9   160.7
   1956   7    ---     ---     ---    67.8   167.6
   1956   8    ---     ---     ---   113.8   119.2
   1956   9    ---     ---     ---    54.4    80.6
   1956  10    ---     ---     ---    46.5    97.4
   1956  11    ---     ---     ---    18.5    42.5
   1956  12    ---     ---     ---    50.3    15.7
   1957   1    8.6     1.6      11    30.9    43.4
   1957   2    8.4     0.3      13    50.2    80.3
   1957   3   12.6     4.6       4    41.3    78.9
   1957   4   12.9     3.1       4     6.3   143.6
   1957   5   14.8     4.8       1    32.9   196.7
   1957   6   20.9     7.6       0    34.8   292.9
   1957   7   19.6    12.4       0    93.3   107.1
   1957   8   18.8    10.9       0   127.5   117.2
   1957   9   15.5     8.5       0   131.8    93.5
   1957  10   14.0     6.1       2    40.0    60.1
   1957  11    8.7     2.8       5    38.1    50.3
   1957  12    7.4     0.0      12    22.9    36.5
   1958   1    6.3    -1.0      15    63.3    46.2
   1958   2    8.2     0.7      12    88.0    53.8
   1958   3    7.1    -0.5      17    24.7    85.2
   1958   4   11.8     2.1       6    12.0   144.6
   1958   5   15.6     6.4       0    51.8   165.5
   1958   6   17.8     8.2       0   111.0     ---
   1958   7   19.6    11.1       0   158.9   163.9
   1958   8   19.7    10.5       0    62.1   132.7
   1958   9   18.3    10.1       0   145.2    89.6
   1958  10   13.6     7.0       0    49.6    73.0
   1958  11    9.1     3.0       6    45.1    36.6
   1958  12    6.8     1.2       6    63.2    25.4
   1959   1    4.2    -3.2      24    93.9    77.2
   1959   2    7.5     1.3      12     4.8    49.3
   1959   3   10.4     3.6       2    45.4    80.7
   1959   4   13.1     4.5       1    76.4   151.9
   1959   5   17.7     6.6       1    47.4   214.7
   1959   6   19.2     9.3       0    61.8   236.7
   1959   7   21.3    11.6       0    37.9   221.0
   1959   8   21.8    11.5       0    19.5   199.3
   1959   9   20.6     7.7       2     7.4   175.3
   1959  10   16.9     6.8       0    56.5   127.0
   1959  11    9.8     2.7      10    58.5    51.7
   1959  12    8.5     2.2       3   110.5    41.5
   1960   1    6.6     1.1      12   101.3    27.7
   1960   2    6.9     0.2      13    49.4    75.4
   1960   3    9.1     3.0       3    34.7    56.6
   1960   4   13.0     3.5       5    36.0   163.1
   1960   5   17.4     7.6       0    41.8   164.0
   1960   6   21.2    10.4       0    55.4   277.6
   1960   7   19.2    10.7       0    84.6   180.0
   1960   8   18.6    10.2       0    97.4   142.5
   1960   9   16.7     8.4       0   116.8   126.1
   1960  10   12.6     6.7       0   106.1    50.6
   1960  11    9.8     3.2       7   100.0    61.6
   1960  12    6.3     0.2      14    66.0    68.2
   1961   1    6.2     0.1      16    65.0    26.9
   1961   2   10.0     3.7       1    38.1    59.6
   1961   3   12.6     2.7       6     7.2   145.5
   1961   4   13.3     5.4       2    82.9    75.1
   1961   5   14.9     5.6       1    42.9   210.7
   1961   6   19.0     8.0       0    29.1   216.2
   1961   7   19.0    10.3       0    80.1   171.8
   1961   8   19.2    10.8       0    48.8   185.3
   1961   9   19.1     9.4       0    67.9   139.3
   1961  10   14.1     6.2       1    85.6   103.2
   1961  11    9.2     2.1       9    31.0    76.9
   1961  12    4.4    -1.9      20    72.7    49.2
   1962   1    7.4     0.2       8    66.2    66.9
   1962   2    7.7     1.4      10    25.6    72.3
   1962   3    6.8    -2.2      22    25.6   134.6
   1962   4   11.6     2.7       3    61.9   161.1
   1962   5   14.0     5.4       0    71.4   163.2
