Stornoway
Location: 1464E 9332N, 15 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1873   7   16.7     9.9       0   110.5     ---
   1873   8   15.5     8.9       0   141.0     ---
   1873   9   12.2     5.9       0   100.7     ---
   1873  10    9.0     2.4       2   164.1     ---
   1873  11    7.6     2.1       3    91.9     ---
   1873  12    8.7     2.8       5   131.8     ---
   1874   1    6.6     1.1      11   171.6     ---
   1874   2    7.1     2.0       5    45.2     ---
   1874   3    8.2     3.1       5   130.3     ---
   1874   4   11.0     3.8       1    81.9     ---
   1874   5   11.9     4.5       0    69.8     ---
   1874   6   15.0     7.6       0    78.6     ---
   1874   7   17.6    10.3       0    78.5     ---
   1874   8   15.1     8.7       0   112.1     ---
   1874   9   12.9     6.9       0   132.7     ---
   1874  10   10.1     3.9       0   216.5     ---
   1874  11    7.6     3.0       3   132.0     ---
   1874  12    3.0    -2.2      28   103.7     ---
   1875   1    6.9     2.1       6   186.6     ---
   1875   2    5.1     0.7       7    56.3     ---
   1875   3    7.7     1.8       6    25.8     ---
   1875   4   11.2     2.7       2    74.7     ---
   1875   5   13.2     6.6       0    90.3     ---
   1875   6   14.8     6.4       0    74.2     ---
   1875   7   16.2     8.0       0    63.7     ---
   1875   8   16.1     9.6       0    96.8     ---
   1875   9   14.5     7.8       0    54.1     ---
   1875  10   10.4     4.9       1    80.7     ---
   1875  11    6.5     1.4      12   113.8     ---
   1875  12    7.0     1.9       8   121.7     ---
   1876   1    7.3     2.0      10   142.7     ---
   1876   2    4.5    -0.4      12   135.5     ---
   1876   3    5.6    -0.2      12   145.2     ---
   1876   4    8.5     2.7       7    99.0     ---
   1876   5   12.9     4.9       1    54.5     ---
   1876   6   15.2     8.4       0   108.3     ---
   1876   7   16.2     9.8       0    48.8     ---
   1876   8   16.3     9.3       0    58.7     ---
   1876   9   12.5     7.0       0    73.4     ---
   1876  10   11.3     6.3       0   137.0     ---
   1876  11    7.9     3.2       6    76.3     ---
   1876  12    6.4     2.5       7    68.3     ---
   1877   1    5.5     0.0      12   137.0     ---
   1877   2    5.7     0.6       8   163.5     ---
   1877   3    6.7     0.4      14    86.3     ---
   1877   4    8.4     1.8       6    45.0     ---
   1877   5   10.7     4.0       5    89.5     ---
   1877   6   14.8     7.6       0   132.1     ---
   1877   7   15.1     9.0       0   102.5     ---
   1877   8   14.2     8.6       0    76.0     ---
