Sutton Bonington
Location: 4507E 3259N, 48 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1959   1    4.2    -2.4      23     ---    78.8
   1959   2    7.0     0.9      11     ---    54.0
   1959   3   10.7     3.2       2     ---    80.7
   1959   4   13.8     5.1       0     ---   148.1
   1959   5   17.6     6.1       3     ---   206.7
   1959   6   20.6     9.7       0     ---   246.6
   1959   7   23.3    11.5       0     ---   235.8
   1959   8   23.2    11.8       0     ---   201.8
   1959   9   20.9     8.0       0     ---   166.7
   1959  10   17.7     6.8       0     ---   143.8
   1959  11    9.6     3.0       8     ---    37.8
   1959  12    8.5     2.9       3     ---    39.6
   1960   1    6.5     1.4      10     ---    26.0
   1960   2    7.0     0.8      11     ---    60.4
   1960   3    9.4     3.0       2     ---    57.9
   1960   4   13.7     4.3       4     ---   143.8
   1960   5   17.5     7.1       0     ---   186.8
   1960   6   21.7    10.1       0     ---   265.4
   1960   7   20.0    10.5       0     ---   139.1
   1960   8   19.9    10.0       0     ---   144.9
   1960   9   16.8     8.6       0     ---   108.4
   1960  10   13.0     6.5       1     ---    47.0
   1960  11   10.4     3.7       3     ---    57.2
   1960  12    6.5     1.1      10     ---    46.9
   1961   1    6.1     0.5      13    58.3    29.2
   1961   2    9.9     3.8       1    41.3    55.7
   1961   3   13.1     3.3       2     7.0   139.6
   1961   4   13.9     5.8       0    74.5    77.2
   1961   5   15.1     5.4       3    17.1   188.9
   1961   6   19.8     8.7       0    20.0   223.6
   1961   7   19.3    10.3       0    51.4   157.4
   1961   8   19.9    10.8       0    74.9   184.0
   1961   9   19.7    10.2       0    31.7   129.5
   1961  10   14.5     6.6       1    47.8   110.8
   1961  11    9.2     2.7       6    44.8    60.0
   1961  12    4.9*   -1.2      19    78.2    48.1
   1962   1    7.4*    0.5       8    52.7    72.0
   1962   2    7.4     1.1      10    16.6    63.1
   1962   3    6.4    -1.7      21    28.5    98.5
   1962   4   11.5     3.1       3    41.8   130.4
   1962   5   14.0     5.7       2    30.1   132.3
   1962   6   18.5     7.8       2     7.5   194.6
   1962   7   18.9    10.3       0    24.6   114.9
   1962   8   18.3    10.0       0    90.8   130.0
   1962   9   16.4     8.6       0    97.7   108.9
   1962  10   14.1     5.8       2     9.7    90.2
   1962  11    8.3     2.1       7    25.2    37.4
   1962  12    4.5    -2.6      20    37.4    43.7
   1963   1    0.3    -5.5      27    19.9    50.1
   1963   2    1.8    -3.5      28     8.9    60.9
   1963   3    9.1     1.8       8    65.0    89.8
   1963   4   12.2     4.4       0    43.9   114.5
   1963   5   15.0     5.9       1    20.4   185.2
   1963   6   19.2     9.7       0    60.7   197.0
   1963   7   19.7     9.4       0    42.8   175.0
   1963   8   17.7     9.8       0    68.0   113.1
   1963   9   16.8     8.1       0    56.3   120.9
   1963  10   14.2     6.9       0    29.0    69.6
   1963  11   10.6     4.6       3    97.2    48.3
   1963  12    5.4    -0.5      12    10.1    45.9
   1964   1    5.3    -0.3      15    15.9    31.2
   1964   2    7.2     1.3      10    12.3    59.7
   1964   3    6.5     0.9      11    68.0    50.0
   1964   4   12.6     4.6       0    33.0    94.3
   1964   5   18.4     7.9       0    30.6   193.1
   1964   6   17.5     9.1       0    73.0   133.0
   1964   7   20.2    11.3       0    57.1   196.2
   1964   8   20.1    10.3       0    40.5   208.2
   1964   9   19.2     7.4       2     8.4   177.9
   1964  10   12.6     3.6       4    26.2   108.0
   1964  11   10.3     4.1       4    24.1    52.9
   1964  12    6.4    -0.7      16    57.0    49.7
   1965   1    5.9     0.2      18    70.2    63.6
   1965   2    5.9     0.7      12    13.8    31.8
   1965   3    9.5     0.6      12    60.2   129.7
   1965   4   12.3     3.7       3    39.5   142.0
   1965   5   15.6     6.4       2    37.2   160.1
   1965   6   19.3     9.5       0    60.6   202.2
   1965   7   17.7     9.5       0    66.8   106.4
   1965   8   19.6     8.9       0    42.7   169.3
   1965   9   16.2     8.7       0   127.2    94.1
   1965  10   14.8     6.2       0    10.9    75.8
   1965  11    7.2     0.8      14    67.1    79.0
   1965  12    7.4     1.1      10   111.4    56.6
   1966   1    4.9     0.3      15    44.6    33.3
   1966   2    8.1     3.1       8    81.3    52.9
   1966   3    9.9     2.8       4    25.4   114.4
   1966   4   10.4     3.5       3   100.4   100.5
   1966   5   15.7     5.8       0    36.6   226.6
   1966   6   19.9    10.3       0    58.2   167.7
   1966   7   19.4    10.0       0    62.2   159.4
   1966   8   20.1     9.4       0    94.9   174.0
   1966   9   18.2     8.6       0    28.1   121.2
   1966  10   13.7     6.0       1    93.7    79.3
   1966  11    8.1     1.9       8    47.4    39.6
   1966  12    8.2*    1.7       5    71.5    34.7
   1967   1    7.3     1.7       9    20.8    61.1
   1967   2    8.6     2.2       7    54.9    72.7
   1967   3   10.8     4.1       2    33.5   175.0
   1967   4   11.3     3.9       1    32.0    91.9
   1967   5   14.3     5.8       2   110.3   154.0
