Valley
Location: 2308E 3758N, 10 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1930  12    8.6     5.5       0   130.3    31.5
   1931   1    8.0     4.2       0    66.2    63.8
   1931   2    7.6     3.7       0    60.6    74.1
   1931   3    8.5     2.4       6    32.5   130.3
   1931   4    9.9     5.6       0    47.1   119.0
   1931   5   12.9     8.0       0    86.0   197.1
   1931   6   15.5    10.8       0   104.2   150.2
   1931   7   16.5    12.3       0    43.5   150.8
   1931   8   16.9    12.4       0    69.8   209.2
   1931   9   14.8    11.1       0    78.3   123.8
   1931  10   13.4     8.7       0    50.0   128.5
   1931  11   11.6     8.0       0   155.8    53.3
   1931  12   10.0     6.7       0    57.7    14.7
   1932   1    9.8     6.5       0   122.6    53.0
   1932   2    7.6     3.5       1     5.4   105.0
   1932   3    8.7     3.8       2    37.5   119.5
   1932   4    9.9     5.2       0    45.4   181.3
   1932   5   12.3     8.0       0    64.2   164.9
   1932   6   16.8    11.3       0    35.5   249.8
   1932   7   17.0    13.2       0    91.4   154.9
   1932   8   18.4    13.5       0    38.5   152.3
   1932   9   16.0    11.7       0    68.4   129.1
   1932  10   12.6     8.9       0   133.0    92.0
   1932  11   10.3     6.8       0    89.0    60.6
   1932  12    9.3     6.6       0   110.2    38.9
   1933   1    6.9     3.1       3    99.7   102.5
   1933   2    7.5     3.7       2    52.1    82.8
   1933   3   11.0     5.3       0    55.4   148.9
   1933   4   11.5     6.5       0    22.8   175.1
   1933   5   13.8     8.8       0    37.9   154.7
   1933   6   16.8    11.6       0    35.4   200.7
   1933   7   18.7    13.6       0    36.0   178.5
   1933   8   19.7    14.1       0    36.7   209.1
   1933   9   18.3    12.9       0    23.9   209.0
   1933  10   13.7    10.0       0    88.5    88.6
   1933  11    9.8     6.5       1    46.0    79.4
   1933  12    6.7     2.9       2    59.1    45.9
   1934   1    8.7     5.3       0    90.0    62.1
   1934   2    8.0     4.2       0     6.6    90.0
   1934   3    8.6     3.7       0    49.4   119.7
   1934   4   10.1     5.5       0    30.6   153.8
   1934   5   12.7     8.0       0    98.4   182.6
   1934   6   16.1    11.0       0    39.4   239.7
   1934   7   19.6    13.9       0    10.6   255.0
   1934   8   17.7    12.6       0    71.1   174.3
