Yeovilton
Location: 3551E 1232N, 20 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1964   9   20.5     8.8       0    37.4     ---
   1964  10   13.6     4.2       5    77.8     ---
   1964  11   11.8     4.7       3    45.5     ---
   1964  12    7.7     0.1      17    65.1     ---
   1965   1    7.3     0.8      14    74.6     ---
   1965   2    6.5     0.1      13     3.3     ---
   1965   3   10.8     1.4      12    75.8     ---
   1965   4   13.2     3.5       6    32.4     ---
   1965   5   16.1     7.0       1    59.7     ---
   1965   6   19.0     9.2       0    41.6     ---
   1965   7   18.7    10.7       0   155.2     ---
   1965   8   19.9    10.9       0    89.3     ---
   1965   9   16.6     8.2       0    77.3     ---
   1965  10   16.0     7.3       1    16.8     ---
   1965  11    9.4     2.1      12    88.1     ---
   1965  12    9.7     1.7       8    94.1     ---
   1966   1    6.3     1.2      11    54.2     ---
   1966   2    9.8     4.8       0   100.4     ---
   1966   3   11.0     2.7       6    19.7     ---
   1966   4   12.1     4.9       1    95.0     ---
   1966   5   16.3     6.2       0    73.9     ---
   1966   6   20.1    10.4       0    49.1     ---
   1966   7   20.1    10.8       0    54.8     ---
   1966   8   20.1    10.7       0   106.6     ---
   1966   9   19.3     9.4       0    20.5     ---
   1966  10   14.9     6.4       2   126.8     ---
   1966  11    9.1     2.3       6    90.5     ---
   1966  12   10.4     2.6       7    83.7     ---
   1967   1    7.7     1.4      12    67.5     ---
   1967   2    9.8     1.7      11    78.7     ---
   1967   3   11.0     3.5       4    53.4     ---
   1967   4   12.9     4.1       4    16.8     ---
   1967   5   15.3     6.5       2   131.9     ---
   1967   6   20.1     9.3       0    23.7     ---
   1967   7   21.8    11.8       0    65.2     ---
   1967   8   20.6    11.0       0    42.3     ---
   1967   9   17.9    10.2       0    86.5     ---
   1967  10   14.8     8.2       0   133.1     ---
   1967  11    9.8     1.7      10    38.3     ---
   1967  12    8.4     1.6      13    53.8     ---
   1968   1    8.5     2.4       9    59.7     ---
   1968   2    5.9    -1.7      19    48.0     ---
   1968   3   10.8     1.9      10    23.2     ---
   1968   4   12.8     2.6       9    56.0     ---
   1968   5   15.0     5.6       0    51.3     ---
   1968   6   19.9    10.3       0    66.2     ---
   1968   7   20.5    10.5       0    89.1     ---
   1968   8   19.9    12.0       0    48.4     ---
   1968   9   18.5    10.4       0    98.3     ---
   1968  10   16.1    10.2       0    58.8     ---
   1968  11   10.2     4.4       5    55.0     ---
   1968  12    6.9     0.8      16    61.0     ---
   1969   1    9.7     3.4       6    74.0     ---
   1969   2    5.5    -1.1      15    93.9     ---
   1969   3    9.0     1.1       9    51.6     ---
   1969   4   13.4     3.4       5    36.8     ---
   1969   5   15.7     7.2       1    88.8     ---
   1969   6   19.7     9.1       0    30.4     ---
   1969   7   22.1    11.8       0    81.9     ---
   1969   8   20.6    12.1       0    45.1     ---
   1969   9   18.6    10.2       1    56.0     ---
   1969  10   17.1     8.6       1    10.4     ---
   1969  11   10.1     2.4       9   118.8     ---
   1969  12    7.3     0.2      15    68.3     ---
   1970   1    8.3     0.8      10   112.1     ---
   1970   2    7.7     0.2      13    54.8     ---
   1970   3    8.6     0.2      13    34.7     ---
   1970   4   11.3     2.7      10    46.3     ---
   1970   5   18.0     7.3       0    20.1     ---
   1970   6   21.8    10.9       0    42.3     ---
   1970   7   20.2    11.3       0    55.9     ---
   1970   8   20.9    11.2       0   100.1     ---
   1970   9   19.4    10.1       0    65.6     ---
   1970  10   15.2     7.0       2    17.0     ---
   1970  11   12.6     5.4       2   140.1     ---
   1970  12    7.5     1.1      15    36.1     ---
   1971   1    8.1     2.2       7   119.8     ---
   1971   2    8.9     0.1      13    27.9     ---
   1971   3    9.1     1.2      10    51.2     ---
   1971   4   12.8     3.8       2    63.0     ---
   1971   5   17.2     6.3       1    32.7     ---
   1971   6   17.3     8.6       0   112.4     ---
   1971   7   23.4    11.3       0    28.0     ---
   1971   8   20.2    11.9       0    88.2     ---
   1971   9   20.5     8.5       0     7.9     ---
   1971  10   17.1     7.1       1    49.6     ---
   1971  11   11.2     1.0      11    67.5     ---
   1971  12    9.5     4.2       4    44.5     ---
   1972   1    7.6     1.7       9    91.5     ---
   1972   2    8.3     2.1       4   108.5     ---
   1972   3   11.9     1.9       7    85.8     ---
   1972   4   13.1     4.2       4    53.5     ---
   1972   5   14.6     6.5       1    57.1     ---
   1972   6   15.8     7.2       0    78.5     ---
   1972   7   20.6    11.0       0    35.1     ---
   1972   8   20.6    10.3       0    41.4     ---
   1972   9   17.2     7.2       0    28.9     ---
   1972  10   15.1     6.6       4    36.8     ---
   1972  11   10.6     1.9      11    96.3     ---
   1972  12    9.9     2.4       8   125.4     ---
   1973   1    8.0     1.2      14    36.7     ---
   1973   2    8.5     0.9      11    29.5     ---
   1973   3   11.5    -0.2      19    19.3     ---
   1973   4   12.6     2.7       4    36.0     ---
   1973   5   16.0     7.2       1    65.9     ---
   1973   6   19.9     9.5       0    87.9     ---
   1973   7   20.0    11.3       0    99.4     ---
   1973   8   22.4    11.6       0    64.1     ---
   1973   9   19.9    10.0       0    66.2     ---
   1973  10   14.1     4.5       5    31.0     ---
   1973  11   11.1     2.8      11    34.9     ---
   1973  12    9.3     1.9      12    75.5     ---
   1974   1   10.1     3.4       3   123.3     ---
